Province;coal;oc_gas;cc_gas;diesel;large_hydro;small_hydro;onshore_wind;biomass;geothermal;solar
Aceh;231.5;424.27;24;261.16;;14.45;;0;;0.42
Bali;426;556.53;;76.06;;2.53;1.38;0;;7.76
Banten;9175;8.4;859.4;30.14;;15.5;;0;;0.87
Bengkulu;230;0;;34.72;278.47;11.6;;3.06;;0.3
D.I. Yogyakarta;0;0;;;;1;;3.8;;0.04
DKI Jakarta;400;0;4439.53;105.3;;0;;0;;7.4
Gorontalo;76;100;;29.1;;6.3;;0.5;;13.59
Jambi;20;369.97;;46.77;;1.02;;46.2;;0.65
Jawa Barat;3010;2089.7;1440.5;32.48;2033.69;96.7;;14;1193.8;6.31
Jawa Tengah;6506;55;1033.9;4.4;322.14;32.6;;19.8;60;2.29
Jawa Timur;6865.47;763.48;2434.56;62.78;291.7;4.55;;147.19;;2.49
Kalimantan Barat;311;134;;390.26;232.24;2.71;;24;;1.58
Kalimantan Selatan;671;21;;163.31;30;0;;11.7;;0.29
Kalimantan Tengah;382.07;156.3;;204.51;;0.3;;17.4;;0.81
Kalimantan Timur;1000.13;346.66;89.55;301.46;;0;;20;;5.16
Kalimantan Utara;18.5;114.81;8.91;125.04;;0.09;;0;;1.8
Kepulauan Bangka Beltiung;119.92;75;;177.77;;0;;79.96;;1.49
Kepulauan Riau;145;440.54;145.6;194.7;;0;;1;;1.43
Lampung;467;121.35;;64.57;174.6;0.08;;58.12;220;1.26
Maluku;0;146.79;;206.56;;0.04;;0;;2.01
Maluku Utara;14;40;;128.48;;0;;0;;0.37
Nusa Tenggara Barat;308.08;156.15;126.88;283.62;;15.99;;0;;22.46
Nusa Tenggara Timur;78.1;179.41;;223.97;;7.8;;0;12.5;17.13
Papua;217;221.54;;209.51;20;7.15;;3.5;;10.31
Papua Barat;12;106;;92.61;;6.98;;0;;5.61
Riau;363;523;30;206.37;114;0.06;;1279.38;;1.02
Sulawesi Barat;60;0;;7.81;;8.27;;0;;0.35
Sulawesi Selatan;890;122.72;315;278.81;513.5;43.85;152.85;17.2;;5.35
Sulawesi Tengah;1205.1;66;;201.63;321;36.81;;0;;0.31
Sulawesi Tenggara;233.5;97.8;;264;;5.27;;0;;2.03
Sulawesi Utara;110;126;;131.2;51.38;8.26;0.08;0;120;20.02
Sumatera Barat;432.5;64.05;;11.12;253.5;40.05;;1.2;85;1.44
Sumatera Selatan;1340;344.83;470;35.41;;13.26;;12.8;55;2.54
Sumatera Utara;1350;555.08;817.88;277.96;1002.45;99.05;;139.7;384.4;0.39
