v_nom,type,x,y,carrier,unit,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,sub_network,generator
1.0,,96.66992857142858,4.970642857142858,AC,None,1.0,0.0,inf,Slack,0,
1.0,,115.12234615384615,-8.537923076923077,AC,None,1.0,0.0,inf,Slack,1,
1.0,,106.30609803921567,-6.147176470588237,AC,None,1.0,0.0,inf,PQ,1,
1.0,,102.55320000000002,-3.6519999999999997,AC,None,1.0,0.0,inf,PQ,0,
1.0,,110.3537142857143,-7.8138571428571435,AC,None,1.0,0.0,inf,PQ,1,
1.0,,106.85024242424245,-6.177090909090908,AC,None,1.0,0.0,inf,PQ,1,
1.0,,122.81914285714285,0.6254285714285714,AC,None,1.0,0.0,inf,Slack,2,
1.0,,103.13390909090911,-1.6084545454545456,AC,None,1.0,0.0,inf,PQ,0,
1.0,,107.4014893617021,-6.64910638297872,AC,None,1.0,0.0,inf,PQ,1,
1.0,,110.2187323943662,-7.249957746478873,AC,None,1.0,0.0,inf,PQ,1,
1.0,,112.6329419354838,-7.511993548387098,AC,None,1.0,0.0,inf,PQ,1,
1.0,,109.42326666666668,0.5097333333333334,AC,None,1.0,0.0,inf,Slack,3,
1.0,,115.06053846153848,-3.2216153846153848,AC,None,1.0,0.0,inf,Slack,4,
1.0,,113.75736363636365,-2.1348181818181824,AC,None,1.0,0.0,inf,PQ,4,
1.0,,116.9664,-0.7475,AC,None,1.0,0.0,inf,PQ,4,
1.0,,106.523,-2.30325,AC,None,1.0,0.0,inf,Slack,5,
1.0,,104.031875,1.0770625,AC,None,1.0,0.0,inf,Slack,6,
1.0,,105.05912820512822,-5.186307692307692,AC,None,1.0,0.0,inf,PQ,0,
1.0,,127.339,0.7635000000000001,AC,None,1.0,0.0,inf,Slack,7,
1.0,,116.34972222222223,-8.616222222222223,AC,None,1.0,0.0,inf,Slack,8,
1.0,,123.476,-10.296,AC,None,1.0,0.0,inf,Slack,9,
1.0,,140.7345,-2.601,AC,None,1.0,0.0,inf,Slack,10,
1.0,,131.2905,-1.0034999999999998,AC,None,1.0,0.0,inf,Slack,11,
1.0,,101.23400000000001,0.6631764705882354,AC,None,1.0,0.0,inf,PQ,0,
1.0,,119.16114285714285,-2.541714285714286,AC,None,1.0,0.0,inf,Slack,12,
1.0,,119.8274814814815,-4.283814814814814,AC,None,1.0,0.0,inf,PQ,12,
1.0,,120.35139999999998,-1.3095999999999999,AC,None,1.0,0.0,inf,PQ,12,
1.0,,121.9204,-3.8906,AC,None,1.0,0.0,inf,PQ,12,
1.0,,124.49506250000003,1.20675,AC,None,1.0,0.0,inf,PQ,2,
1.0,,100.51102777777781,-0.6897222222222221,AC,None,1.0,0.0,inf,PQ,0,
1.0,,104.37676923076924,-3.221205128205129,AC,None,1.0,0.0,inf,PQ,0,
1.0,,98.86260937499998,2.9072500000000003,AC,None,1.0,0.0,inf,PQ,0,
