line_ID;node_start;node_end
1;1;2
2;103;104
3;1;5
4;7;8
5;5;10
6;11;103
7;11;103
8;15;16
9;17;18
10;19;20
11;1;18
12;23;24
13;25;26
14;25;28
15;29;30
16;29;32
17;33;34
18;35;36
19;33;38
20;39;40
21;26;28
22;43;44
23;24;46
24;1;36
25;49;50
26;51;52
27;49;52
28;55;56
29;57;58
30;59;60
31;61;62
32;63;64
33;38;61
34;46;68
35;69;70
36;71;72
37;73;74
38;75;76
39;77;78
40;40;69
41;5;81
42;81;104
43;29;104
44;87;88
45;63;90
46;64;91
47;93;94
48;95;96
49;97;98
50;94;99
51;101;102
52;103;104
53;57;75
54;107;108
55;109;110
56;109;110
57;5;113
58;115;116
59;117;118
60;119;120
61;119;120
62;123;124
63;119;126
64;115;128
65;129;130
66;131;132
67;133;134
68;135;136
69;137;138
70;139;140
71;137;142
72;136;143
73;143;146
74;147;148
75;129;150
76;151;152
77;151;153
78;49;51
79;138;157
80;159;160
81;108;159
82;142;163
83;165;166
84;167;168
85;117;169
86;138;171
87;173;174
88;175;176
89;177;178
90;179;180
91;107;148
92;137;183
93;138;175
94;187;188
95;189;190
96;191;192
97;191;194
98;195;196
99;197;198
100;146;200
101;130;200
102;203;204
103;205;206
104;1;35
105;209;210
106;211;212
107;213;214
108;188;216
109;188;218
110;216;218
111;221;222
112;221;224
113;224;225
114;227;228
115;229;230
116;206;232
117;233;234
118;235;236
119;237;238
120;5;8
121;90;241
122;5;113
123;204;246
124;247;248
125;190;250
126;251;252
127;126;254
128;115;166
129;257;258
130;129;260
131;261;262
132;252;264
133;264;266
134;266;268
135;268;270
136;270;272
137;272;274
138;274;275
139;275;278
140;278;280
141;280;282
142;282;284
143;251;285
144;150;287
145;130;146
146;163;175
147;138;176
148;214;295
149;204;213
150;299;300
151;301;302
152;295;304
153;177;304
154;307;308
155;131;309
156;107;160
157;110;314
158;236;254
159;254;301
160;10;314
161;129;322
162;323;324
163;113;251
164;119;327
165;159;330
166;1;159
167;333;334
168;116;128
169;151;337
170;169;339
171;118;341
172;139;308
173;308;346
174;347;348
175;308;350
176;337;351
177;351;354
178;204;356
179;356;357
180;96;360
181;262;299
182;96;134
183;168;356
184;356;367
185;190;348
186;371;372
187;97;371
188;133;134
189;133;378
190;133;380
191;168;190
192;383;384
193;334;350
194;159;387
195;384;387
196;140;334
197;241;394
198;300;396
199;189;398
200;354;399
201;118;169
202;147;346
203;108;406
204;407;408
205;409;410
206;341;411
207;409;413
208;415;416
209;177;309
210;177;367
211;322;421
212;165;421
213;189;347
214;421;428
215;429;430
216;151;431
217;179;180
218;147;436
219;250;371
220;347;439
221;107;442
222;367;443
223;128;137
224;128;183
225;214;378
226;378;452
227;411;453
228;455;456
229;455;456
230;262;459
231;139;179
232;194;464
233;465;466
234;260;467
235;260;407
236;211;472
237;188;473
238;146;476
239;428;453
240;134;203
241;110;113
242;222;484
243;230;486
244;487;488
245;205;489
246;473;489
247;489;494
248;91;496
249;93;488
250;232;499
251;211;221
252;221;504
253;203;218
254;229;230
255;229;510
256;229;512
257;513;514
258;515;516
259;515;518
260;515;519
261;518;521
262;233;524
263;167;439
264;527;528
265;87;528
266;7;11
267;81;302
268;17;535
269;537;538
270;539;540
271;541;542
272;543;544
273;15;544
274;15;543
275;15;549
276;16;549
277;101;553
278;43;553
279;63;558
280;44;560
281;44;562
282;23;539
283;74;553
284;59;74
285;70;101
286;549;572
287;549;574
288;23;549
289;371;578
290;549;579
291;549;581
292;78;584
293;77;102
294;63;588
295;589;590
296;57;589
297;78;589
298;549;595
299;541;598
300;599;600
301;588;602
302;542;603
303;538;603
304;33;34
305;33;38
306;76;560
307;39;584
308;615;616
309;39;40
310;589;619
311;589;621
312;159;624
313;46;626
314;59;628
315;60;628
316;62;628
317;619;621
318;541;621
319;34;543
320;26;179
321;35;56
322;643;644
323;49;56
324;56;537
325;30;101
326;2;10
327;57;654
328;56;655
329;558;658
330;63;660
331;49;660
332;25;371
333;75;654
334;667;668
335;73;670
336;74;670
337;46;540
338;30;676
339;32;101
340;679;680
341;43;679
342;619;683
343;589;683
344;598;687
345;56;689
346;17;689
347;17;55
348;644;695
349;115;698
350;128;476
351;324;702
352;126;703
353;118;421
354;324;708
355;216;710
356;195;360
357;195;196
358;115;322
359;1;718
360;719;720
361;721;722
362;260;724
363;177;725
364;727;728
365;729;730
366;230;731
367;499;731
368;399;736
369;119;737
370;260;416
371;71;396
372;194;464
373;72;431
374;429;720
375;131;132
376;512;752
377;752;754
378;230;752
379;26;758
380;410;428
381;138;142
382;191;194
383;138;766
384;152;157
385;157;770
386;146;173
387;339;724
388;408;776
389;777;778
390;129;191
391;191;260
392;191;415
393;452;786
394;464;719
395;464;727
396;408;464
397;222;794
398;58;75
399;140;797
400;252;800
401;801;802
402;802;804
403;252;801
404;737;802
405;17;810
406;801;811
407;800;801
408;624;725
409;195;465
410;415;459
411;736;821
412;383;736
413;177;826
414;178;826
415;356;829
416;190;347
417;167;833
418;439;833
419;139;837
420;140;837
421;107;147
422;309;844
423;131;844
424;222;225
425;136;146
426;851;852
427;138;173
428;157;176
429;142;175
430;152;153
431;150;724
432;130;150
433;115;865
434;867;868
435;150;165
436;165;287
437;411;874
438;456;874
439;191;262
440;192;262
441;258;430
442;430;884
443;258;884
444;887;888
445;889;890
446;891;892
447;852;893
448;895;896
449;897;898
450;119;737
451;260;396
452;655;810
453;867;905
454;907;908
455;893;908
456;851;912
457;913;914
458;615;916
459;913;917
460;919;920
461;921;922
462;914;923
463;923;926
464;917;927
465;929;930
466;931;932
467;933;934
468;931;933
469;937;938
470;939;940
471;937;939
472;939;943
473;931;946
474;937;948
475;948;950
476;933;950
477;950;954
478;939;955
479;948;958
480;959;960
481;917;961
482;897;907
483;965;966
484;896;967
485;969;970
486;970;972
487;973;974
488;975;976
489;959;978
490;908;974
491;981;982
492;919;974
493;919;986
494;987;988
495;987;990
496;991;992
497;991;991
498;991;996
499;997;998
500;987;997
501;997;1001
502;1001;1004
503;1005;1006
504;1001;1005
505;991;1009
506;1005;1009
507;1013;1014
508;1014;1014
509;1014;1018
510;1009;1014
511;1021;1022
512;1021;1024
513;1025;1026
514;1021;1025
515;1025;1029
516;1029;1032
517;1033;1034
518;1035;1036
519;1033;1035
520;1033;1040
521;1041;1042
522;1029;1041
523;1041;1046
524;1047;1048
525;1047;1050
526;1047;1051
527;1051;1053
528;1050;1053
529;1041;1057
530;1035;1050
531;1057;1057
532;1051;1063
533;1057;1063
534;1063;1063
535;1063;1063
536;1053;1071
537;1071;1074
538;1063;1075
539;1074;1075
540;1071;1079
541;1079;1082
542;1074;1083
543;1079;1083
544;1079;1087
545;1087;1090
546;1075;1091
547;1083;1091
548;1075;1096
549;1083;1097
550;1087;1097
551;1091;1101
552;1097;1101
553;1101;1106
554;1087;1107
555;1107;1110
556;1107;1111
557;1111;1114
558;1111;1115
559;1115;1118
560;1097;1119
561;1101;1121
562;1123;1124
563;1123;1126
564;1123;1127
565;1127;1129
566;1131;1132
567;1131;1133
568;1127;1136
569;1133;1136
570;1131;1140
571;1136;1142
572;1133;1144
573;1145;1146
574;1147;1148
575;1149;1150
576;1151;1152
577;1151;1154
578;1155;1156
579;1155;1157
580;1155;1159
581;1150;1159
582;1151;1163
583;1159;1163
584;1150;1168
585;1169;1170
586;1170;1172
587;1163;1173
588;1169;1173
589;1170;1178
590;1178;1180
591;1180;1182
592;1180;1184
593;1184;1186
594;1184;1188
595;1188;1190
596;1188;1192
597;1169;1194
598;1184;1196
599;1196;1198
600;1170;1200
601;1200;1202
602;1178;1204
603;1200;1204
604;1180;1208
