ID_line;voltage;Longitude;Latitude;node_start;node_end
7;150;106.443;-6.172;1;2
8;150;107.117;-6.286;3;4
9;150;106.424;-6.2;1;6
13;150;106.87;-6.109;7;8
14;150;106.791;-6.134;9;10
15;150;105.94;-6.033;11;12
16;150;106.955;-6.118;13;14
17;150;106.896;-6.13;8;16
18;150;124.795;1.179;17;18
19;150;106.933;-6.134;13;16
20;150;106.868;-6.262;21;22
21;150;106.835;-6.258;21;24
22;150;106.51;-6.26;25;26
23;150;106.474;-6.275;25;28
24;150;106.344;-6.162;1;29
25;150;106.33;-6.179;29;32
26;150;106.523;-6.204;2;34
27;150;105.985;-5.992;35;36
28;150;106.02;-5.989;35;38
29;150;106.02;-5.989;35;39
30;150;106.004;-5.971;39;42
31;150;106.865;-6.422;43;44
32;150;106.88;-6.202;22;46
33;150;106.606;-6.156;47;48
34;150;106.328;-6.198;49;50
35;150;106.794;-6.413;21;52
36;150;106.726;-6.171;53;54
37;150;106.918;-6.187;55;56
38;150;106.726;-6.171;53;58
39;150;106.659;-6.151;47;53
40;150;106.02;-5.989;35;61
41;150;106.583;-6.214;63;64
42;150;106.923;-6.328;65;66
43;150;106.914;-6.441;43;65
44;150;106.898;-6.299;65;70
45;150;106.791;-6.134;9;72
46;150;106.798;-6.239;73;74
47;150;106.812;-6.199;72;75
48;150;106.68;-6.211;77;78
49;150;106.609;-6.243;77;80
50;150;106.825;-6.125;10;81
51;150;105.828;-6.354;83;84
52;150;106.918;-6.187;56;86
53;150;105.829;-6.392;83;88
54;150;106.464;-6.06;48;89
55;150;106.464;-6.06;89;92
56;150;106.782;-6.11;93;94
57;150;106.787;-6.111;9;93
58;150;106.726;-6.171;53;93
59;150;105.828;-6.354;84;100
60;150;106.898;-6.299;66;70
61;150;106.424;-6.2;6;25
62;150;107.322;-6.375;105;106
63;150;106.955;-6.243;66;108
64;150;106.955;-6.243;66;110
65;150;106.004;-5.971;42;112
66;150;106.945;-6.202;13;86
67;150;106.88;-6.202;46;55
