ID_node;Longitude;Latitude;ID_line
1;106.983;-6.205;1
2;106.869;-6.26;1
5;106.916;-6.44;3
7;106.018;-5.989;4
8;106.433;-6.36;4
10;106.999;-6.088;5
11;106.031;-5.897;6
15;105.94;-6.033;8
16;105.951;-6.025;8
17;106.896;-6.13;9
18;106.933;-6.134;9
19;124.795;1.179;10
20;124.796;1.174;10
23;106.031;-5.996;12
24;106.004;-5.971;12
25;106.923;-6.328;13
26;106.955;-6.243;13
28;106.898;-6.299;14
29;106.72;-6.188;15
30;106.68;-6.211;15
32;106.609;-6.243;16
33;105.829;-6.392;17
34;105.828;-6.354;17
35;106.918;-6.187;18
36;106.945;-6.202;18
38;106.001;-6.405;19
39;106.464;-6.06;20
40;106.636;-6.064;20
43;106.424;-6.2;22
44;106.51;-6.26;22
46;106.032;-5.897;23
49;106.88;-6.202;25
50;106.847;-6.213;25
51;106.869;-6.192;26
52;106.835;-6.18;26
55;106.952;-6.184;28
56;106.918;-6.178;28
57;106.743;-6.253;29
58;106.787;-6.344;29
59;106.33;-6.179;30
60;106.319;-6.205;30
61;106.271;-6.365;31
62;106.333;-6.247;31
63;106.868;-6.262;32
64;106.88;-6.355;32
68;106.078;-5.897;34
69;106.571;-6.114;35
70;106.53;-6.183;35
71;109.769;-6.935;36
72;109.662;-6.905;36
73;106.183;-6.091;37
74;106.344;-6.162;37
75;106.672;-6.351;38
76;106.659;-6.305;38
77;106.641;-6.207;39
78;106.659;-6.151;39
81;106.793;-6.412;41
87;106.037;-5.887;44
88;106.031;-5.895;44
90;106.814;-6.388;45
91;106.914;-6.439;46
93;106.498;-6.519;47
94;106.25;-6.364;47
95;107.728;-7.219;48
96;107.739;-7.217;48
97;106.937;-6.456;49
98;106.891;-6.485;49
99;106.182;-6.091;50
101;106.523;-6.204;51
102;106.583;-6.214;51
103;106.423;-6.2;2
104;106.788;-6.346;2
107;107.322;-6.375;54
108;107.325;-6.362;54
109;107.366;-6.698;55
110;107.349;-6.673;55
113;107.354;-6.864;57
115;110.363;-7.839;58
116;110.091;-7.893;58
117;110.71;-7.542;59
118;110.787;-7.554;59
119;110.409;-7.158;60
120;111.5;-7.241;60
123;107.325;-6.361;62
124;107.324;-6.339;62
126;110.71;-7.677;63
128;109.964;-7.751;64
129;110.435;-7.221;65
130;110.234;-7.416;65
131;107.494;-6.505;66
132;107.549;-6.461;66
133;107.805;-7.01;67
134;107.784;-7.138;67
135;109.898;-7.226;68
136;109.905;-7.226;68
137;109.51;-7.631;69
138;109.162;-7.539;69
139;107.097;-6.296;70
140;107.117;-6.286;70
142;109.134;-7.581;71
143;109.922;-7.291;72
146;109.897;-7.381;73
147;107.272;-6.351;74
148;107.306;-6.36;74
150;110.229;-7.475;75
151;109.128;-6.913;76
152;109.026;-7.282;76
153;109.089;-7.091;77
157;109.257;-7.434;79
159;107.378;-6.374;80
160;107.343;-6.387;80
163;109.005;-7.695;82
165;110.393;-7.739;83
166;110.318;-7.756;83
167;106.892;-6.957;84
168;107.112;-6.801;84
169;110.619;-7.538;85
171;109.388;-7.443;86
173;109.608;-7.396;87
174;109.389;-7.443;87
175;109.026;-7.689;88
176;109.088;-7.686;88
177;107.489;-6.84;89
178;107.553;-6.881;89
179;107.035;-6.284;90
180;107.001;-6.253;90
183;109.727;-7.734;92
187;107.554;-7.168;94
188;107.556;-7.142;94
189;106.648;-6.742;95
190;106.821;-6.594;95
191;110.432;-6.951;96
192;110.405;-6.992;96
194;110.538;-6.928;97
195;108.209;-7.353;98
196;108.363;-7.336;98
197;112.096;-7.614;99
198;112.098;-7.615;99
200;110.134;-7.279;100
203;107.626;-7.196;102
204;107.572;-7.057;102
205;107.671;-6.905;103
206;107.73;-6.936;103
209;107.111;-6.801;105
210;106.892;-6.959;105
211;107.41;-6.555;106
212;107.406;-6.562;106
213;107.654;-6.937;107
214;107.731;-6.936;107
216;107.723;-7.382;108
218;107.63;-7.253;109
221;107.455;-6.567;111
222;107.378;-6.373;111
224;107.396;-6.492;112
225;107.388;-6.488;113
227;112.149;-7.125;114
228;112.145;-7.129;114
229;108.541;-6.737;115
230;108.403;-6.657;115
232;107.907;-6.864;116
233;106.755;-6.95;117
234;106.556;-6.988;117
235;109.1;-7.684;118
236;109.138;-7.681;118
237;112.66;-7.167;119
238;112.637;-7.194;119
241;106.802;-6.559;121
246;107.615;-6.982;123
247;104.577;-5.307;124
248;104.574;-5.321;124
