ID_node;Longitude;Latitude;name
1;106.443;-6.172;Banten
2;106.523;-6.204;Banten
3;107.123;-6.275;Jawa Barat
4;107.117;-6.286;Jawa Barat
6;106.424;-6.2;Banten
7;106.87;-6.109;Daerah Khusus Ibukota Jakarta
8;106.896;-6.13;Daerah Khusus Ibukota Jakarta
9;106.791;-6.134;Daerah Khusus Ibukota Jakarta
10;106.825;-6.125;Daerah Khusus Ibukota Jakarta
11;105.94;-6.033;Banten
12;105.951;-6.025;Banten
13;106.983;-6.205;Jawa Barat
14;106.955;-6.118;Daerah Khusus Ibukota Jakarta
16;106.933;-6.134;Daerah Khusus Ibukota Jakarta
17;124.795;1.179;Sulawesi Utara
18;124.796;1.174;Sulawesi Utara
21;106.868;-6.262;Daerah Khusus Ibukota Jakarta
22;106.881;-6.232;Daerah Khusus Ibukota Jakarta
24;106.835;-6.258;Daerah Khusus Ibukota Jakarta
25;106.51;-6.26;Banten
26;106.6;-6.317;Banten
28;106.474;-6.275;Banten
29;106.344;-6.162;Banten
32;106.33;-6.179;Banten
34;106.53;-6.183;Banten
35;106.02;-5.989;Banten
36;105.985;-5.992;Banten
38;106.182;-6.09;Banten
39;106.031;-5.996;Banten
42;106.004;-5.971;Banten
43;106.914;-6.441;Jawa Barat
44;106.865;-6.422;Jawa Barat
46;106.88;-6.202;Daerah Khusus Ibukota Jakarta
47;106.659;-6.151;Banten
48;106.606;-6.156;Banten
49;106.328;-6.198;Banten
50;106.333;-6.247;Banten
52;106.794;-6.413;Jawa Barat
53;106.726;-6.171;Daerah Khusus Ibukota Jakarta
54;106.784;-6.166;Daerah Khusus Ibukota Jakarta
55;106.918;-6.178;Daerah Khusus Ibukota Jakarta
56;106.918;-6.187;Daerah Khusus Ibukota Jakarta
58;106.743;-6.253;Banten
61;106.104;-5.931;Banten
63;106.583;-6.214;Banten
64;106.641;-6.207;Banten
65;106.923;-6.328;Jawa Barat
66;106.955;-6.243;Jawa Barat
70;106.898;-6.299;Daerah Khusus Ibukota Jakarta
72;106.812;-6.199;Daerah Khusus Ibukota Jakarta
73;106.811;-6.198;Daerah Khusus Ibukota Jakarta
74;106.798;-6.239;Daerah Khusus Ibukota Jakarta
