,Aceh,Bali,Banten,Bengkulu,Daerah_Istimewa_Yogyakarta,Daerah_Khusus_Ibukota_Jakarta,Gorontalo,Jambi,Jawa_Barat,Jawa_Tengah,Jawa_Timur,Kalimantan_Barat,Kalimantan_Selatan,Kalimantan_Tengah,Kalimantan_Timur,Kalimantan_Utara,Kepulauan_Bangka_Belitung,Kepulauan_Riau,Lampung,Maluku,Maluku_Utara,Nusa_Tenggara_Barat,Nusa_Tenggara_Timur,Papua,Papua_Barat,Riau,Sulawesi_Barat,Sulawesi_Selatan,Sulawesi_Tengah,Sulawesi_Tenggara,Sulawesi_Utara,Sumatera_Barat,Sumatera_Selatan,Sumatera_Utara
2050/01/01 00:00:00,-608.2,-1023.9,-4609.3,-209.7,-623.5,-6658.0,-124.4,-416.2,-10254.5,-5193.3,-7785.5,-562.1,-608.4,-309.2,-799.4,-54.2,-251.9,-689.5,-1026.4,-113.5,-122.3,-445.0,-234.6,-234.5,-113.3,-1028.2,-87.7,-1237.3,-263.1,-220.1,-385.4,-709.8,-1098.9,-2316.8
2050/01/01 01:00:00,-640.7,-1078.6,-4855.6,-220.9,-656.8,-7013.7,-131.1,-438.4,-10802.4,-5470.8,-8201.4,-592.1,-640.9,-325.7,-842.1,-57.1,-265.4,-726.3,-1081.3,-119.6,-128.9,-468.7,-247.2,-247.0,-119.4,-1083.1,-92.4,-1303.4,-277.2,-231.9,-406.0,-747.7,-1157.6,-2440.6
2050/01/01 02:00:00,-673.7,-1134.2,-5105.7,-232.3,-690.7,-7375.0,-137.8,-461.0,-11358.9,-5752.6,-8624.0,-622.6,-673.9,-342.5,-885.5,-60.0,-279.1,-763.7,-1137.0,-125.7,-135.5,-492.9,-259.9,-259.7,-125.5,-1138.9,-97.2,-1370.5,-291.4,-243.8,-426.9,-786.2,-1217.2,-2566.3
2050/01/01 03:00:00,-692.8,-1166.2,-5249.9,-238.9,-710.2,-7583.3,-141.7,-474.0,-11679.7,-5915.1,-8867.5,-640.2,-692.9,-352.2,-910.5,-61.7,-287.0,-785.3,-1169.1,-129.3,-139.3,-506.8,-267.2,-267.0,-129.1,-1171.1,-99.9,-1409.3,-299.7,-250.7,-439.0,-808.4,-1251.6,-2638.8
2050/01/01 04:00:00,-693.3,-1167.1,-5253.8,-239.0,-710.7,-7588.9,-141.8,-474.3,-11688.4,-5919.5,-8874.1,-640.7,-693.5,-352.5,-911.2,-61.7,-287.2,-785.9,-1170.0,-129.4,-139.4,-507.2,-267.4,-267.2,-129.2,-1171.9,-100.0,-1410.3,-299.9,-250.9,-439.3,-809.0,-1252.5,-2640.7
2050/01/01 05:00:00,-702.6,-1182.8,-5324.4,-242.3,-720.3,-7690.9,-143.7,-480.7,-11845.4,-5999.0,-8993.3,-649.3,-702.8,-357.2,-923.4,-62.6,-291.0,-796.4,-1185.7,-131.1,-141.3,-514.0,-271.0,-270.8,-130.9,-1187.7,-101.3,-1429.2,-303.9,-254.2,-445.2,-819.9,-1269.3,-2676.2
2050/01/01 06:00:00,-720.6,-1213.1,-5460.6,-248.5,-738.7,-7887.7,-147.4,-493.0,-12148.5,-6152.5,-9223.4,-665.9,-720.8,-366.3,-947.1,-64.2,-298.5,-816.8,-1216.0,-134.5,-144.9,-527.1,-278.0,-277.8,-134.3,-1218.1,-103.9,-1465.8,-311.7,-260.8,-456.6,-840.9,-1301.8,-2744.7
2050/01/01 07:00:00,-730.6,-1230.0,-5537.1,-251.9,-749.0,-7998.1,-149.5,-499.9,-12318.6,-6238.6,-9352.5,-675.2,-730.9,-371.5,-960.3,-65.1,-302.7,-828.2,-1233.1,-136.4,-147.0,-534.5,-281.9,-281.7,-136.2,-1235.1,-105.4,-1486.3,-316.1,-264.4,-463.0,-852.7,-1320.0,-2783.1
2050/01/01 08:00:00,-735.4,-1238.0,-5572.9,-253.6,-753.9,-8049.8,-150.4,-503.1,-12398.2,-6278.9,-9413.0,-679.6,-735.6,-373.9,-966.5,-65.5,-304.6,-833.6,-1241.0,-137.2,-147.9,-538.0,-283.7,-283.5,-137.0,-1243.1,-106.1,-1495.9,-318.1,-266.1,-466.0,-858.2,-1328.6,-2801.1
2050/01/01 09:00:00,-721.7,-1215.0,-5469.4,-248.9,-739.9,-7900.3,-147.6,-493.8,-12167.9,-6162.3,-9238.2,-667.0,-721.9,-366.9,-948.6,-64.3,-298.9,-818.1,-1218.0,-134.7,-145.2,-528.0,-278.4,-278.2,-134.5,-1220.0,-104.1,-1468.2,-312.2,-261.2,-457.4,-842.2,-1303.9,-2749.1
