,Aceh,Bali,Banten,Bengkulu,Daerah_Istimewa_Yogyakarta,Daerah_Khusus_Ibukota_Jakarta,Gorontalo,Jambi,Jawa_Barat,Jawa_Tengah,Jawa_Timur,Kalimantan_Barat,Kalimantan_Selatan,Kalimantan_Tengah,Kalimantan_Timur,Kalimantan_Utara,Kepulauan_Bangka_Belitung,Kepulauan_Riau,Lampung,Maluku,Maluku_Utara,Nusa_Tenggara_Barat,Nusa_Tenggara_Timur,Papua,Papua_Barat,Riau,Sulawesi_Barat,Sulawesi_Selatan,Sulawesi_Tengah,Sulawesi_Tenggara,Sulawesi_Utara,Sumatera_Barat,Sumatera_Selatan,Sumatera_Utara
2030/01/01 00:00:00,-531.6,-695.4,-3130.4,-183.4,-423.5,-4521.9,-105.2,-363.8,-6964.4,-3527.1,-5287.5,-555.6,-601.3,-305.6,-790.2,-53.6,-220.3,-602.7,-897.2,-120.3,-129.7,-471.6,-248.7,-248.5,-120.1,-898.7,-74.1,-1045.4,-222.3,-186.0,-325.7,-620.5,-960.5,-2025.1
2030/01/01 01:00:00,-559.0,-731.3,-3292.1,-192.8,-445.3,-4755.4,-110.6,-382.6,-7324.1,-3709.3,-5560.6,-584.3,-632.4,-321.4,-831.0,-56.3,-231.7,-633.8,-943.6,-126.5,-136.4,-495.9,-261.5,-261.3,-126.3,-945.1,-78.0,-1099.4,-233.8,-195.6,-342.5,-652.5,-1010.1,-2129.7
2030/01/01 02:00:00,-588.5,-769.9,-3465.8,-203.0,-468.8,-5006.3,-116.5,-402.8,-7710.6,-3905.0,-5854.1,-615.2,-665.8,-338.4,-874.9,-59.3,-243.9,-667.2,-993.4,-133.1,-143.6,-522.1,-275.3,-275.1,-133.0,-995.0,-82.1,-1157.5,-246.1,-205.9,-360.6,-686.9,-1063.4,-2242.1
2030/01/01 03:00:00,-600.6,-785.7,-3536.8,-207.2,-478.5,-5108.9,-118.9,-411.0,-7868.6,-3985.1,-5974.0,-627.8,-679.4,-345.3,-892.8,-60.5,-248.9,-680.9,-1013.7,-135.9,-146.6,-532.8,-281.0,-280.7,-135.7,-1015.4,-83.8,-1181.2,-251.2,-210.2,-368.0,-701.0,-1085.2,-2288.0
2030/01/01 04:00:00,-600.8,-786.0,-3538.2,-207.3,-478.6,-5110.8,-118.9,-411.2,-7871.5,-3986.6,-5976.2,-628.0,-679.7,-345.4,-893.1,-60.5,-249.0,-681.2,-1014.1,-135.9,-146.6,-533.0,-281.1,-280.8,-135.8,-1015.7,-83.8,-1181.6,-251.3,-210.2,-368.1,-701.3,-1085.6,-2288.9
2030/01/01 05:00:00,-609.1,-796.9,-3587.3,-210.1,-485.3,-5181.8,-120.6,-416.9,-7980.8,-4041.9,-6059.2,-636.7,-689.1,-350.2,-905.5,-61.4,-252.4,-690.6,-1028.2,-137.8,-148.7,-540.4,-285.0,-284.7,-137.6,-1029.8,-85.0,-1198.0,-254.7,-213.2,-373.2,-711.0,-1100.6,-2320.7
2030/01/01 06:00:00,-624.9,-817.5,-3679.9,-215.6,-497.8,-5315.5,-123.7,-427.6,-8186.8,-4146.2,-6215.6,-653.2,-706.9,-359.3,-928.9,-63.0,-259.0,-708.4,-1054.7,-141.4,-152.5,-554.4,-292.3,-292.1,-141.2,-1056.4,-87.2,-1228.9,-261.3,-218.7,-382.9,-729.4,-1129.0,-2380.6
2030/01/01 07:00:00,-633.5,-828.7,-3730.5,-218.5,-504.7,-5388.6,-125.4,-433.5,-8299.4,-4203.2,-6301.1,-662.1,-716.6,-364.2,-941.7,-63.8,-262.5,-718.2,-1069.2,-143.3,-154.6,-562.0,-296.4,-296.1,-143.1,-1071.0,-88.4,-1245.8,-264.9,-221.7,-388.1,-739.4,-1144.6,-2413.3
2030/01/01 08:00:00,-641.4,-839.1,-3777.4,-221.3,-511.0,-5456.4,-127.0,-439.0,-8403.8,-4256.1,-6380.3,-670.5,-725.6,-368.8,-953.5,-64.6,-265.8,-727.2,-1082.7,-145.1,-156.6,-569.1,-300.1,-299.8,-144.9,-1084.4,-89.5,-1261.5,-268.3,-224.5,-393.0,-748.7,-1159.0,-2443.7
2030/01/01 09:00:00,-630.4,-824.7,-3712.6,-217.5,-502.2,-5362.8,-124.8,-431.4,-8259.6,-4183.1,-6270.9,-659.0,-713.2,-362.5,-937.2,-63.5,-261.3,-714.7,-1064.1,-142.6,-153.9,-559.3,-294.9,-294.7,-142.5,-1065.8,-87.9,-1239.9,-263.6,-220.6,-386.3,-735.9,-1139.1,-2401.8
2030/01/01 10:00:00,-621.2,-812.6,-3658.2,-214.3,-494.9,-5284.1,-123.0,-425.1,-8138.5,-4121.7,-6178.9,-649.3,-702.7,-357.1,-923.4,-62.6,-257.4,-704.3,-1048.5,-140.5,-151.6,-551.1,-290.6,-290.3,-140.4,-1050.2,-86.6,-1221.7,-259.8,-217.4,-380.6,-725.1,-1122.4,-2366.5
