,Aceh,Bali,Banten,Bengkulu,Daerah_Istimewa_Yogyakarta,Daerah_Khusus_Ibukota_Jakarta,Gorontalo,Jambi,Jawa_Barat,Jawa_Tengah,Jawa_Timur,Kalimantan_Barat,Kalimantan_Selatan,Kalimantan_Tengah,Kalimantan_Timur,Kalimantan_Utara,Kepulauan_Bangka_Belitung,Kepulauan_Riau,Lampung,Maluku,Maluku_Utara,Nusa_Tenggara_Barat,Nusa_Tenggara_Timur,Papua,Papua_Barat,Riau,Sulawesi_Barat,Sulawesi_Selatan,Sulawesi_Tengah,Sulawesi_Tenggara,Sulawesi_Utara,Sumatera_Barat,Sumatera_Selatan,Sumatera_Utara
2030/01/01 00:00:00,-645.5,-1086.8,-4892.2,-222.7,-661.8,-7066.8,-132.2,-441.7,-10884.0,-5512.2,-8263.4,-596.6,-645.7,-328.2,-848.5,-57.5,-267.5,-731.8,-1089.5,-120.4,-129.9,-472.2,-249.0,-248.8,-120.3,-1091.2,-93.1,-1313.2,-279.2,-233.6,-409.1,-753.4,-1166.2,-2459.0
2030/01/01 01:00:00,-678.8,-1142.9,-5144.9,-234.2,-696.0,-7431.7,-139.0,-464.5,-11446.2,-5796.9,-8690.2,-627.4,-679.0,-345.1,-892.3,-60.5,-281.3,-769.6,-1145.7,-126.6,-136.6,-496.6,-261.9,-261.6,-126.5,-1147.6,-98.0,-1381.0,-293.7,-245.7,-430.3,-792.3,-1226.5,-2586.0
2030/01/01 02:00:00,-714.6,-1203.2,-5416.4,-246.5,-732.7,-7823.9,-146.3,-489.0,-12050.1,-6102.8,-9148.7,-660.5,-714.9,-363.3,-939.4,-63.7,-296.1,-810.2,-1206.2,-133.3,-143.8,-522.8,-275.7,-275.4,-133.2,-1208.1,-103.1,-1453.9,-309.2,-258.7,-453.0,-834.1,-1291.2,-2722.4
2030/01/01 03:00:00,-729.2,-1227.9,-5527.4,-251.6,-747.7,-7984.2,-149.3,-499.1,-12297.0,-6227.9,-9336.2,-674.1,-729.5,-370.8,-958.6,-65.0,-302.2,-826.8,-1230.9,-136.1,-146.8,-533.5,-281.3,-281.1,-135.9,-1232.9,-105.2,-1483.7,-315.5,-264.0,-462.2,-851.2,-1317.6,-2778.2
2030/01/01 04:00:00,-729.5,-1228.3,-5529.5,-251.7,-748.0,-7987.2,-149.4,-499.2,-12301.6,-6230.2,-9339.7,-674.3,-729.8,-370.9,-959.0,-65.0,-302.3,-827.1,-1231.4,-136.1,-146.8,-533.7,-281.4,-281.2,-135.9,-1233.3,-105.3,-1484.2,-315.6,-264.1,-462.4,-851.5,-1318.1,-2779.3
2030/01/01 05:00:00,-739.6,-1245.4,-5606.2,-255.2,-758.4,-8098.1,-151.4,-506.2,-12472.4,-6316.7,-9469.3,-683.7,-739.9,-376.0,-972.3,-65.9,-306.5,-838.6,-1248.4,-138.0,-148.9,-541.1,-285.4,-285.1,-137.8,-1250.5,-106.7,-1504.8,-320.0,-267.7,-468.8,-863.3,-1336.4,-2817.8
2030/01/01 06:00:00,-758.7,-1277.5,-5750.9,-261.7,-778.0,-8307.1,-155.4,-519.2,-12794.3,-6479.7,-9713.7,-701.3,-759.0,-385.7,-997.4,-67.6,-314.4,-860.2,-1280.7,-141.6,-152.7,-555.1,-292.7,-292.4,-141.4,-1282.7,-109.5,-1543.7,-328.3,-274.7,-480.9,-885.6,-1370.9,-2890.6
2030/01/01 07:00:00,-769.2,-1295.1,-5830.0,-265.3,-788.7,-8421.3,-157.5,-526.4,-12970.3,-6568.8,-9847.3,-711.0,-769.4,-391.1,-1011.1,-68.5,-318.8,-872.0,-1298.3,-143.5,-154.8,-562.7,-296.7,-296.5,-143.3,-1300.4,-111.0,-1564.9,-332.8,-278.4,-487.6,-897.8,-1389.8,-2930.3
2030/01/01 08:00:00,-778.8,-1311.4,-5903.3,-268.7,-798.6,-8527.3,-159.5,-533.0,-13133.4,-6651.4,-9971.2,-719.9,-779.1,-396.0,-1023.8,-69.4,-322.8,-883.0,-1314.6,-145.3,-156.8,-569.8,-300.5,-300.2,-145.1,-1316.7,-112.4,-1584.6,-337.0,-281.9,-493.7,-909.1,-1407.2,-2967.2
2030/01/01 09:00:00,-765.5,-1288.9,-5802.1,-264.1,-784.9,-8381.0,-156.7,-523.9,-12908.2,-6537.4,-9800.2,-707.6,-765.8,-389.2,-1006.3,-68.2,-317.2,-867.9,-1292.1,-142.8,-154.1,-560.0,-295.3,-295.0,-142.6,-1294.2,-110.5,-1557.4,-331.2,-277.1,-485.2,-893.5,-1383.1,-2916.3
2030/01/01 10:00:00,-754.3,-1270.0,-5717.0,-260.2,-773.4,-8258.0,-154.4,-516.2,-12718.8,-6441.5,-9656.4,-697.2,-754.5,-383.5,-991.5,-67.2,-312.6,-855.1,-1273.1,-140.7,-151.8,-551.8,-291.0,-290.7,-140.5,-1275.2,-108.8,-1534.6,-326.3,-273.0,-478.1,-880.4,-1362.8,-2873.5
2030/01/01 11:00:00,-815.6,-1373.3,-6182.2,-281.4,-836.3,-8930.1,-167.0,-558.2,-13753.9,-6965.7,-10442.3,-753.9,-815.9,-414.7,-1072.2,-72.7,-338.0,-924.7,-1376.7,-152.2,-164.2,-596.7,-314.7,-314.4,-152.0,-1379.0,-117.7,-1659.5,-352.9,-295.3,-517.0,-952.0,-1473.7,-3107.4
2030/01/01 12:00:00,-846.9,-1425.9,-6418.9,-292.1,-868.3,-9271.9,-173.4,-579.5,-14280.3,-7232.3,-10841.9,-782.8,-847.2,-430.5,-1113.2,-75.5,-350.9,-960.1,-1429.4,-158.0,-170.5,-619.6,-326.7,-326.4,-157.8,-1431.7,-122.2,-1723.0,-366.4,-306.6,-536.8,-988.5,-1530.1,-3226.3
2030/01/01 13:00:00,-845.6,-1423.8,-6409.3,-291.7,-867.0,-9258.2,-173.1,-578.7,-14259.2,-7221.6,-10825.9,-781.6,-845.9,-429.9,-1111.6,-75.4,-350.4,-958.7,-1427.3,-157.8,-170.2,-618.6,-326.2,-325.9,-157.6,-1429.6,-122.0,-1720.4,-365.8,-306.1,-536.0,-987.0,-1527.9,-3221.5
2030/01/01 14:00:00,-834.6,-1405.2,-6325.7,-287.9,-855.7,-9137.4,-170.9,-571.1,-14073.2,-7127.4,-10684.7,-771.4,-834.9,-424.3,-1097.1,-74.4,-345.9,-946.2,-1408.7,-155.7,-168.0,-610.6,-322.0,-321.7,-155.5,-1411.0,-120.4,-1698.0,-361.1,-302.1,-529.0,-974.1,-1507.9,-3179.5
2030/01/01 15:00:00,-809.5,-1363.0,-6135.7,-279.3,-830.0,-8862.9,-165.8,-554.0,-13650.4,-6913.3,-10363.7,-748.3,-809.8,-411.6,-1064.1,-72.1,-335.5,-917.8,-1366.4,-151.0,-162.9,-592.2,-312.3,-312.0,-150.8,-1368.6,-116.8,-1647.0,-350.2,-293.0,-513.1,-944.9,-1462.6,-3084.0
2030/01/01 16:00:00,-771.5,-1299.1,-5847.9,-266.2,-791.1,-8447.2,-158.0,-528.0,-13010.1,-6589.0,-9877.5,-713.1,-771.8,-392.3,-1014.2,-68.8,-319.7,-874.7,-1302.3,-143.9,-155.3,-564.4,-297.7,-297.4,-143.8,-1304.4,-111.3,-1569.7,-333.8,-279.3,-489.0,-900.6,-1394.0,-2939.3
2030/01/01 17:00:00,-736.6,-1240.3,-5583.5,-254.1,-755.3,-8065.2,-150.8,-504.1,-12421.8,-6291.1,-9430.9,-680.9,-736.9,-374.5,-968.3,-65.6,-305.3,-835.2,-1243.4,-137.4,-148.3,-538.9,-284.2,-283.9,-137.3,-1245.4,-106.3,-1498.7,-318.7,-266.7,-466.9,-859.8,-1331.0,-2806.4
2030/01/01 18:00:00,-713.0,-1200.4,-5403.9,-245.9,-731.0,-7805.8,-146.0,-487.9,-12022.3,-6088.7,-9127.6,-659.0,-713.2,-362.5,-937.2,-63.5,-295.5,-808.3,-1203.4,-133.0,-143.5,-521.6,-275.1,-274.8,-132.9,-1205.3,-102.9,-1450.5,-308.4,-258.1,-451.9,-832.2,-1288.2,-2716.1
2030/01/01 19:00:00,-692.0,-1165.2,-5245.4,-238.7,-709.6,-7576.9,-141.7,-473.6,-11669.7,-5910.1,-8859.9,-639.7,-692.3,-351.8,-909.7,-61.7,-286.8,-784.6,-1168.1,-129.1,-139.3,-506.3,-267.0,-266.7,-129.0,-1170.0,-99.9,-1408.0,-299.4,-250.5,-438.7,-807.8,-1250.4,-2636.5
2030/01/01 20:00:00,-682.6,-1149.2,-5173.4,-235.5,-699.8,-7472.9,-139.8,-467.1,-11509.6,-5829.1,-8738.3,-630.9,-682.8,-347.0,-897.2,-60.8,-282.9,-773.8,-1152.1,-127.3,-137.4,-499.4,-263.3,-263.1,-127.2,-1153.9,-98.5,-1388.7,-295.3,-247.1,-432.6,-796.7,-1233.3,-2600.3
2030/01/01 21:00:00,-684.5,-1152.5,-5187.9,-236.1,-701.8,-7493.8,-140.1,-468.4,-11541.7,-5845.3,-8762.7,-632.7,-684.7,-348.0,-899.7,-61.0,-283.6,-776.0,-1155.3,-127.7,-137.8,-500.7,-264.1,-263.8,-127.5,-1157.2,-98.8,-1392.6,-296.1,-247.8,-433.8,-798.9,-1236.7,-2607.6
2030/01/01 22:00:00,-703.5,-1184.6,-5332.6,-242.7,-721.4,-7702.8,-144.1,-481.5,-11863.6,-6008.4,-9007.1,-650.3,-703.8,-357.7,-924.8,-62.7,-291.6,-797.6,-1187.5,-131.3,-141.6,-514.7,-271.4,-271.2,-131.1,-1189.4,-101.5,-1431.4,-304.4,-254.7,-446.0,-821.2,-1271.2,-2680.3
2030/01/01 23:00:00,-704.1,-1185.5,-5336.8,-242.9,-721.9,-7708.9,-144.2,-481.8,-11873.0,-6013.1,-9014.3,-650.8,-704.3,-358.0,-925.6,-62.7,-291.8,-798.3,-1188.5,-131.4,-141.7,-515.1,-271.6,-271.4,-131.2,-1190.4,-101.6,-1432.5,-304.6,-254.9,-446.3,-821.8,-1272.2,-2682.4
2030/01/02 00:00:00,-780.4,-1314.1,-5915.4,-269.2,-800.2,-8544.7,-159.8,-534.1,-13160.3,-6665.1,-9991.6,-721.4,-780.7,-396.8,-1025.9,-69.5,-323.4,-884.8,-1317.3,-145.6,-157.1,-571.0,-301.1,-300.8,-145.4,-1319.4,-112.6,-1587.8,-337.6,-282.5,-494.7,-910.9,-1410.1,-2973.2
2030/01/02 01:00:00,-858.4,-1445.4,-6506.5,-296.1,-880.2,-9398.6,-175.8,-587.5,-14475.4,-7331.1,-10990.0,-793.5,-858.7,-436.4,-1128.4,-76.5,-355.7,-973.2,-1448.9,-160.2,-172.8,-628.0,-331.2,-330.9,-160.0,-1451.3,-123.9,-1746.5,-371.4,-310.7,-544.1,-1002.0,-1551.0,-3270.4
2030/01/02 02:00:00,-902.1,-1518.9,-6837.4,-311.2,-924.9,-9876.5,-184.7,-617.3,-15211.5,-7703.9,-11548.9,-833.8,-902.4,-458.6,-1185.8,-80.4,-373.8,-1022.7,-1522.6,-168.3,-181.6,-660.0,-348.0,-347.7,-168.1,-1525.1,-130.2,-1835.3,-390.3,-326.5,-571.8,-1052.9,-1629.9,-3436.7
2030/01/02 03:00:00,-924.0,-1555.7,-7003.2,-318.7,-947.4,-10116.0,-189.2,-632.3,-15580.3,-7890.7,-11828.9,-854.0,-924.3,-469.7,-1214.6,-82.3,-382.9,-1047.5,-1559.5,-172.4,-186.0,-676.0,-356.5,-356.1,-172.2,-1562.1,-133.3,-1879.8,-399.7,-334.5,-585.7,-1078.5,-1669.4,-3520.0
2030/01/02 04:00:00,-908.0,-1528.9,-6882.6,-313.2,-931.1,-9941.8,-185.9,-621.4,-15312.1,-7754.8,-11625.3,-839.3,-908.4,-461.7,-1193.7,-80.9,-376.3,-1029.5,-1532.7,-169.4,-182.8,-664.3,-350.3,-350.0,-169.2,-1535.2,-131.0,-1847.5,-392.8,-328.7,-575.6,-1059.9,-1640.7,-3459.4
2030/01/02 05:00:00,-912.7,-1536.7,-6917.7,-314.8,-935.8,-9992.5,-186.9,-624.6,-15390.2,-7794.4,-11684.5,-843.6,-913.0,-464.0,-1199.7,-81.3,-378.2,-1034.7,-1540.5,-170.3,-183.7,-667.7,-352.1,-351.8,-170.1,-1543.0,-131.7,-1856.9,-394.9,-330.4,-578.5,-1065.3,-1649.1,-3477.0
2030/01/02 06:00:00,-943.0,-1587.8,-7147.7,-325.3,-966.9,-10324.8,-193.1,-645.4,-15901.9,-8053.6,-12073.1,-871.7,-943.4,-479.4,-1239.6,-84.0,-390.8,-1069.1,-1591.7,-175.9,-189.8,-689.9,-363.8,-363.5,-175.7,-1594.3,-136.1,-1918.6,-408.0,-341.4,-597.7,-1100.7,-1703.9,-3592.6
2030/01/02 07:00:00,-952.5,-1603.7,-7219.3,-328.6,-976.6,-10428.1,-195.0,-651.8,-16061.1,-8134.2,-12193.9,-880.4,-952.8,-484.2,-1252.0,-84.9,-394.7,-1079.8,-1607.7,-177.7,-191.7,-696.8,-367.5,-367.1,-177.5,-1610.3,-137.4,-1937.8,-412.1,-344.8,-603.7,-1111.7,-1720.9,-3628.6
2030/01/02 08:00:00,-947.8,-1595.9,-7184.0,-327.0,-971.8,-10377.2,-194.1,-648.6,-15982.7,-8094.5,-12134.4,-876.1,-948.1,-481.9,-1245.9,-84.5,-392.8,-1074.6,-1599.8,-176.8,-190.8,-693.4,-365.7,-365.3,-176.6,-1602.4,-136.8,-1928.4,-410.1,-343.1,-600.8,-1106.3,-1712.5,-3610.9
2030/01/02 09:00:00,-904.8,-1523.5,-6858.0,-312.1,-927.7,-9906.2,-185.3,-619.2,-15257.3,-7727.1,-11583.6,-836.3,-905.1,-460.0,-1189.4,-80.6,-375.0,-1025.8,-1527.2,-168.8,-182.1,-661.9,-349.1,-348.7,-168.6,-1529.7,-130.6,-1840.9,-391.4,-327.5,-573.5,-1056.1,-1634.8,-3447.0
2030/01/02 10:00:00,-864.2,-1455.0,-6550.0,-298.1,-886.1,-9461.3,-176.9,-591.4,-14572.1,-7380.0,-11063.4,-798.8,-864.5,-439.3,-1136.0,-77.0,-358.1,-979.7,-1458.6,-161.2,-173.9,-632.2,-333.4,-333.1,-161.0,-1461.0,-124.7,-1758.2,-373.9,-312.8,-547.8,-1008.7,-1561.4,-3292.2
2030/01/02 11:00:00,-907.4,-1527.8,-6877.6,-313.0,-930.4,-9934.5,-185.8,-621.0,-15300.8,-7749.1,-11616.7,-838.7,-907.7,-461.3,-1192.8,-80.9,-376.0,-1028.7,-1531.6,-169.3,-182.6,-663.8,-350.1,-349.7,-169.1,-1534.0,-130.9,-1846.1,-392.6,-328.5,-575.2,-1059.1,-1639.5,-3456.8
2030/01/02 12:00:00,-923.1,-1554.3,-6996.8,-318.4,-946.5,-10106.7,-189.0,-631.7,-15566.0,-7883.4,-11818.0,-853.3,-923.4,-469.3,-1213.4,-82.3,-382.5,-1046.5,-1558.1,-172.2,-185.8,-675.3,-356.1,-355.8,-172.0,-1560.6,-133.2,-1878.1,-399.4,-334.2,-585.1,-1077.5,-1667.9,-3516.8
2030/01/02 13:00:00,-908.9,-1530.4,-6889.1,-313.5,-931.9,-9951.2,-186.1,-622.0,-15326.6,-7762.2,-11636.3,-840.1,-909.2,-462.1,-1194.8,-81.0,-376.7,-1030.5,-1534.1,-169.6,-182.9,-665.0,-350.7,-350.3,-169.4,-1536.6,-131.2,-1849.2,-393.2,-329.0,-576.1,-1060.9,-1642.2,-3462.7
2030/01/02 14:00:00,-883.9,-1488.3,-6699.9,-304.9,-906.3,-9677.9,-181.0,-604.9,-14905.6,-7549.0,-11316.6,-817.1,-884.2,-449.4,-1162.0,-78.8,-366.3,-1002.1,-1492.0,-164.9,-177.9,-646.7,-341.0,-340.7,-164.7,-1494.4,-127.6,-1798.4,-382.4,-320.0,-560.3,-1031.8,-1597.1,-3367.6
2030/01/02 15:00:00,-853.8,-1437.5,-6471.2,-294.5,-875.4,-9347.5,-174.8,-584.3,-14396.7,-7291.2,-10930.3,-789.2,-854.1,-434.1,-1122.3,-76.1,-353.8,-967.9,-1441.1,-159.3,-171.8,-624.6,-329.4,-329.1,-159.1,-1443.4,-123.2,-1737.0,-369.4,-309.1,-541.2,-996.5,-1542.6,-3252.6
2030/01/02 16:00:00,-810.6,-1364.9,-6144.0,-279.6,-831.1,-8874.9,-166.0,-554.7,-13668.9,-6922.6,-10377.7,-749.3,-810.9,-412.1,-1065.6,-72.2,-335.9,-919.0,-1368.2,-151.2,-163.2,-593.0,-312.7,-312.4,-151.0,-1370.4,-117.0,-1649.2,-350.7,-293.4,-513.8,-946.2,-1464.6,-3088.1
2030/01/02 17:00:00,-776.8,-1307.9,-5887.5,-268.0,-796.4,-8504.3,-159.0,-531.6,-13098.1,-6633.6,-9944.4,-718.0,-777.0,-394.9,-1021.1,-69.2,-321.9,-880.6,-1311.1,-144.9,-156.3,-568.3,-299.7,-299.4,-144.7,-1313.2,-112.1,-1580.3,-336.0,-281.2,-492.4,-906.6,-1403.5,-2959.2
2030/01/02 18:00:00,-752.4,-1266.8,-5702.7,-259.5,-771.4,-8237.4,-154.1,-514.9,-12687.0,-6425.4,-9632.3,-695.4,-752.6,-382.5,-989.0,-67.0,-311.8,-853.0,-1269.9,-140.4,-151.4,-550.4,-290.3,-290.0,-140.2,-1272.0,-108.6,-1530.7,-325.5,-272.4,-476.9,-878.2,-1359.4,-2866.3
2030/01/02 19:00:00,-731.4,-1231.4,-5543.5,-252.3,-749.9,-8007.4,-149.8,-500.5,-12332.8,-6246.0,-9363.3,-676.0,-731.6,-371.8,-961.4,-65.2,-303.1,-829.2,-1234.5,-136.4,-147.2,-535.1,-282.2,-281.9,-136.3,-1236.5,-105.5,-1488.0,-316.4,-264.7,-463.6,-853.7,-1321.5,-2786.3
2030/01/02 20:00:00,-718.0,-1209.0,-5442.3,-247.7,-736.2,-7861.4,-147.0,-491.4,-12107.8,-6132.0,-9192.5,-663.7,-718.3,-365.0,-943.9,-64.0,-297.6,-814.0,-1212.0,-134.0,-144.5,-525.3,-277.0,-276.8,-133.8,-1213.9,-103.6,-1460.9,-310.6,-259.9,-455.1,-838.1,-1297.4,-2735.5
2030/01/02 21:00:00,-714.8,-1203.5,-5417.8,-246.6,-732.9,-7826.0,-146.4,-489.2,-12053.3,-6104.4,-9151.1,-660.7,-715.0,-363.4,-939.6,-63.7,-296.2,-810.4,-1206.5,-133.4,-143.9,-522.9,-275.8,-275.5,-133.2,-1208.5,-103.1,-1454.3,-309.2,-258.7,-453.1,-834.3,-1291.5,-2723.1
2030/01/02 22:00:00,-731.8,-1232.2,-5546.9,-252.5,-750.4,-8012.4,-149.8,-500.8,-12340.4,-6249.8,-9369.1,-676.4,-732.1,-372.1,-962.0,-65.2,-303.3,-829.7,-1235.2,-136.5,-147.3,-535.4,-282.3,-282.1,-136.4,-1237.2,-105.6,-1488.9,-316.6,-264.9,-463.9,-854.2,-1322.3,-2788.0
2030/01/02 23:00:00,-726.0,-1222.4,-5502.6,-250.4,-744.4,-7948.4,-148.7,-496.8,-12241.9,-6199.9,-9294.3,-671.0,-726.2,-369.1,-954.3,-64.7,-300.8,-823.1,-1225.4,-135.4,-146.1,-531.1,-280.1,-279.8,-135.3,-1227.4,-104.8,-1477.0,-314.1,-262.8,-460.2,-847.4,-1311.7,-2765.7
2030/01/03 00:00:00,-789.9,-1330.0,-5987.2,-272.5,-809.9,-8648.3,-161.7,-540.6,-13319.9,-6745.9,-10112.8,-730.1,-790.2,-401.6,-1038.4,-70.4,-327.3,-895.5,-1333.3,-147.4,-159.0,-577.9,-304.7,-304.5,-147.2,-1335.4,-114.0,-1607.1,-341.7,-285.9,-500.7,-922.0,-1427.2,-3009.3
2030/01/03 01:00:00,-858.0,-1444.6,-6503.2,-296.0,-879.7,-9393.7,-175.7,-587.2,-14467.9,-7327.3,-10984.4,-793.1,-858.3,-436.2,-1127.8,-76.5,-355.6,-972.7,-1448.2,-160.1,-172.7,-627.7,-331.0,-330.7,-159.9,-1450.5,-123.8,-1745.6,-371.2,-310.6,-543.8,-1001.5,-1550.2,-3268.7
2030/01/03 02:00:00,-901.5,-1517.9,-6833.2,-311.0,-924.4,-9870.4,-184.6,-617.0,-15202.1,-7699.1,-11541.8,-833.3,-901.8,-458.3,-1185.1,-80.3,-373.6,-1022.1,-1521.7,-168.2,-181.5,-659.6,-347.8,-347.5,-168.0,-1524.1,-130.1,-1834.2,-390.0,-326.3,-571.4,-1052.3,-1628.9,-3434.5
2030/01/03 03:00:00,-923.7,-1555.2,-7000.9,-318.6,-947.1,-10112.7,-189.1,-632.1,-15575.2,-7888.1,-11825.0,-853.8,-924.0,-469.6,-1214.2,-82.3,-382.8,-1047.2,-1559.0,-172.3,-185.9,-675.7,-356.3,-356.0,-172.1,-1561.6,-133.3,-1879.2,-399.6,-334.4,-585.5,-1078.1,-1668.9,-3518.8
2030/01/03 04:00:00,-908.3,-1529.4,-6884.6,-313.3,-931.3,-9944.6,-186.0,-621.6,-15316.4,-7757.0,-11628.5,-839.6,-908.6,-461.8,-1194.0,-80.9,-376.4,-1029.8,-1533.1,-169.5,-182.8,-664.5,-350.4,-350.1,-169.3,-1535.6,-131.1,-1848.0,-393.0,-328.8,-575.7,-1060.2,-1641.2,-3460.4
2030/01/03 05:00:00,-898.3,-1512.6,-6809.0,-309.9,-921.1,-9835.4,-183.9,-614.8,-15148.2,-7671.8,-11500.8,-830.4,-898.6,-456.7,-1180.9,-80.0,-372.3,-1018.5,-1516.3,-167.6,-180.8,-657.2,-346.6,-346.2,-167.4,-1518.7,-129.6,-1827.7,-388.6,-325.2,-569.4,-1048.6,-1623.1,-3422.4
2030/01/03 06:00:00,-930.9,-1567.3,-7055.5,-321.1,-954.4,-10191.5,-190.6,-637.0,-15696.7,-7949.6,-11917.3,-860.4,-931.2,-473.3,-1223.6,-82.9,-385.8,-1055.3,-1571.2,-173.7,-187.4,-681.0,-359.1,-358.8,-173.5,-1573.7,-134.3,-1893.9,-402.7,-337.0,-590.0,-1086.5,-1681.9,-3546.3
2030/01/03 07:00:00,-952.2,-1603.3,-7217.3,-328.5,-976.3,-10425.3,-195.0,-651.6,-16056.8,-8132.0,-12190.7,-880.2,-952.5,-484.1,-1251.7,-84.9,-394.6,-1079.5,-1607.2,-177.6,-191.7,-696.6,-367.4,-367.0,-177.4,-1609.8,-137.4,-1937.3,-412.0,-344.7,-603.6,-1111.4,-1720.5,-3627.6
2030/01/03 08:00:00,-954.7,-1607.5,-7236.3,-329.3,-978.9,-10452.7,-195.5,-653.4,-16098.9,-8153.3,-12222.6,-882.5,-955.0,-485.4,-1255.0,-85.1,-395.6,-1082.4,-1611.4,-178.1,-192.2,-698.5,-368.3,-368.0,-177.9,-1614.1,-137.8,-1942.4,-413.0,-345.6,-605.2,-1114.4,-1725.0,-3637.2
2030/01/03 09:00:00,-919.0,-1547.3,-6965.4,-317.0,-942.3,-10061.4,-188.2,-628.9,-15496.2,-7848.1,-11765.1,-849.4,-919.3,-467.2,-1208.0,-81.9,-380.8,-1041.9,-1551.1,-171.4,-185.0,-672.3,-354.5,-354.2,-171.2,-1553.6,-132.6,-1869.7,-397.6,-332.7,-582.5,-1072.6,-1660.4,-3501.0
2030/01/03 10:00:00,-874.0,-1471.6,-6624.4,-301.5,-896.1,-9568.9,-179.0,-598.1,-14737.7,-7463.9,-11189.2,-807.9,-874.3,-444.3,-1148.9,-77.9,-362.2,-990.9,-1475.2,-163.1,-175.9,-639.4,-337.2,-336.9,-162.9,-1477.6,-126.1,-1778.2,-378.1,-316.4,-554.0,-1020.1,-1579.1,-3329.6
