,Aceh,Bali,Banten,Bengkulu,Daerah_Istimewa_Yogyakarta,Daerah_Khusus_Ibukota_Jakarta,Gorontalo,Jambi,Jawa_Barat,Jawa_Tengah,Jawa_Timur,Kalimantan_Barat,Kalimantan_Selatan,Kalimantan_Tengah,Kalimantan_Timur,Kalimantan_Utara,Kepulauan_Bangka_Belitung,Kepulauan_Riau,Lampung,Maluku,Maluku_Utara,Nusa_Tenggara_Barat,Nusa_Tenggara_Timur,Papua,Papua_Barat,Riau,Sulawesi_Barat,Sulawesi_Selatan,Sulawesi_Tengah,Sulawesi_Tenggara,Sulawesi_Utara,Sumatera_Barat,Sumatera_Selatan,Sumatera_Utara
2050/01/01 00:00:00,-1827.0,-1545.5,-6957.2,-629.9,-941.2,-10049.4,-340.8,-1250.1,-15477.9,-7838.7,-11751.2,-2361.4,-2555.9,-1298.9,-3358.6,-227.5,-756.9,-2071.1,-3083.5,-576.8,-621.7,-2261.4,-1192.7,-1191.7,-575.8,-3088.7,-240.3,-3388.7,-720.5,-602.7,-1055.6,-2132.2,-3301.1,-6959.7
2050/01/01 01:00:00,-1842.6,-1558.6,-7016.3,-635.3,-949.2,-10134.8,-343.7,-1260.7,-15609.3,-7905.2,-11850.9,-2381.5,-2577.6,-1310.0,-3387.1,-229.4,-763.3,-2088.7,-3109.7,-581.7,-627.0,-2280.6,-1202.8,-1201.8,-580.7,-3114.9,-242.4,-3417.5,-726.6,-607.8,-1064.5,-2150.3,-3329.1,-7018.8
2050/01/01 02:00:00,-1927.0,-1630.1,-7337.7,-664.4,-992.7,-10599.1,-359.5,-1318.5,-16324.4,-8267.4,-12393.9,-2490.6,-2695.7,-1370.0,-3542.3,-239.9,-798.3,-2184.4,-3252.2,-608.4,-655.7,-2385.0,-1257.9,-1256.9,-607.3,-3257.7,-253.5,-3574.0,-759.9,-635.7,-1113.3,-2248.8,-3481.6,-7340.4
2050/01/01 03:00:00,-1968.0,-1664.8,-7494.2,-678.6,-1013.8,-10825.0,-367.1,-1346.6,-16672.4,-8443.7,-12658.1,-2543.7,-2753.1,-1399.2,-3617.8,-245.1,-815.3,-2231.0,-3321.5,-621.3,-669.7,-2435.9,-1284.8,-1283.7,-620.3,-3327.1,-258.9,-3650.2,-776.1,-649.2,-1137.0,-2296.8,-3555.9,-7496.9
2050/01/01 04:00:00,-1955.0,-1653.8,-7444.4,-674.1,-1007.1,-10753.2,-364.7,-1337.7,-16561.8,-8387.6,-12574.1,-2526.8,-2734.9,-1389.9,-3593.8,-243.4,-809.9,-2216.2,-3299.5,-617.2,-665.2,-2419.7,-1276.2,-1275.2,-616.2,-3305.0,-257.1,-3626.0,-771.0,-644.9,-1129.5,-2281.5,-3532.3,-7447.1
2050/01/01 05:00:00,-1981.6,-1676.2,-7545.7,-683.2,-1020.8,-10899.4,-369.6,-1355.9,-16787.0,-8501.7,-12745.1,-2561.1,-2772.0,-1408.8,-3642.7,-246.7,-820.9,-2246.3,-3344.3,-625.6,-674.3,-2452.6,-1293.6,-1292.5,-624.5,-3350.0,-260.6,-3675.3,-781.4,-653.7,-1144.9,-2312.5,-3580.3,-7548.4
2050/01/01 06:00:00,-2003.3,-1694.6,-7628.5,-690.7,-1032.0,-11019.1,-373.7,-1370.7,-16971.3,-8595.0,-12885.0,-2589.3,-2802.5,-1424.3,-3682.6,-249.5,-829.9,-2270.9,-3381.0,-632.5,-681.7,-2479.5,-1307.8,-1306.7,-631.4,-3386.7,-263.5,-3715.6,-790.0,-660.9,-1157.4,-2337.9,-3619.6,-7631.2
2050/01/01 07:00:00,-1980.0,-1674.9,-7539.6,-682.7,-1020.0,-10890.6,-369.3,-1354.8,-16773.5,-8494.8,-12734.8,-2559.1,-2769.8,-1407.7,-3639.7,-246.6,-820.2,-2244.5,-3341.6,-625.1,-673.7,-2450.7,-1292.5,-1291.5,-624.0,-3347.3,-260.4,-3672.3,-780.8,-653.2,-1143.9,-2310.7,-3577.4,-7542.3
2050/01/01 08:00:00,-1943.1,-1643.7,-7399.3,-670.0,-1001.0,-10688.0,-362.5,-1329.6,-16461.4,-8336.8,-12497.9,-2511.5,-2718.3,-1381.5,-3572.0,-242.0,-805.0,-2202.7,-3279.5,-613.5,-661.2,-2405.1,-1268.5,-1267.4,-612.4,-3285.0,-255.6,-3604.0,-766.3,-641.0,-1122.7,-2267.7,-3510.8,-7402.0
2050/01/01 09:00:00,-1985.3,-1679.4,-7559.7,-684.5,-1022.7,-10919.7,-370.3,-1358.4,-16818.3,-8517.5,-12768.8,-2565.9,-2777.2,-1411.4,-3649.4,-247.2,-822.4,-2250.5,-3350.6,-626.8,-675.5,-2457.2,-1296.0,-1294.9,-625.7,-3356.2,-261.1,-3682.1,-782.9,-654.9,-1147.0,-2316.9,-3587.0,-7562.5
