,Aceh,Bali,Banten,Bengkulu,Daerah_Istimewa_Yogyakarta,Daerah_Khusus_Ibukota_Jakarta,Gorontalo,Jambi,Jawa_Barat,Jawa_Tengah,Jawa_Timur,Kalimantan_Barat,Kalimantan_Selatan,Kalimantan_Tengah,Kalimantan_Timur,Kalimantan_Utara,Kepulauan_Bangka_Belitung,Kepulauan_Riau,Lampung,Maluku,Maluku_Utara,Nusa_Tenggara_Barat,Nusa_Tenggara_Timur,Papua,Papua_Barat,Riau,Sulawesi_Barat,Sulawesi_Selatan,Sulawesi_Tengah,Sulawesi_Tenggara,Sulawesi_Utara,Sumatera_Barat,Sumatera_Selatan,Sumatera_Utara
2050/01/01 00:00:00,-1764.8,-1492.9,-6720.2,-608.5,-909.1,-9707.1,-329.2,-1207.5,-14950.6,-7571.6,-11350.8,-2281.0,-2468.8,-1254.7,-3244.2,-219.8,-731.1,-2000.6,-2978.5,-557.2,-600.5,-2184.3,-1152.1,-1151.1,-556.2,-2983.5,-232.1,-3273.2,-696.0,-582.2,-1019.6,-2059.6,-3188.6,-6722.6
2050/01/01 01:00:00,-1859.1,-1572.6,-7079.2,-641.0,-957.7,-10225.7,-346.8,-1272.0,-15749.3,-7976.1,-11957.2,-2402.8,-2600.7,-1321.7,-3417.5,-231.5,-770.1,-2107.4,-3137.6,-586.9,-632.6,-2301.0,-1213.6,-1212.6,-585.9,-3142.9,-244.5,-3448.1,-733.1,-613.3,-1074.1,-2169.6,-3359.0,-7081.8
2050/01/01 02:00:00,-1954.9,-1653.6,-7443.9,-674.0,-1007.0,-10752.5,-364.7,-1337.6,-16560.7,-8387.1,-12573.3,-2526.6,-2734.7,-1389.8,-3593.6,-243.4,-809.8,-2216.0,-3299.2,-617.2,-665.2,-2419.6,-1276.1,-1275.1,-616.1,-3304.8,-257.1,-3625.8,-770.9,-644.9,-1129.4,-2281.4,-3532.0,-7446.6
2050/01/01 03:00:00,-2010.1,-1700.3,-7654.2,-693.0,-1035.5,-11056.1,-375.0,-1375.4,-17028.4,-8623.9,-12928.3,-2598.0,-2811.9,-1429.1,-3695.0,-250.3,-832.7,-2278.6,-3392.4,-634.6,-684.0,-2487.9,-1312.2,-1311.1,-633.5,-3398.1,-264.4,-3728.1,-792.7,-663.1,-1161.3,-2345.8,-3631.8,-7656.9
2050/01/01 04:00:00,-2011.6,-1701.6,-7659.8,-693.6,-1036.2,-11064.3,-375.2,-1376.4,-17041.0,-8630.3,-12937.9,-2599.9,-2814.0,-1430.1,-3697.8,-250.5,-833.3,-2280.3,-3394.9,-635.1,-684.5,-2489.7,-1313.2,-1312.1,-634.0,-3400.6,-264.6,-3730.9,-793.3,-663.6,-1162.2,-2347.5,-3634.5,-7662.6
2050/01/01 05:00:00,-2038.6,-1724.5,-7762.8,-702.9,-1050.2,-11213.0,-380.3,-1394.9,-17270.0,-8746.3,-13111.8,-2634.8,-2851.8,-1449.3,-3747.5,-253.8,-844.5,-2310.9,-3440.5,-643.6,-693.7,-2523.2,-1330.8,-1329.7,-642.5,-3446.3,-268.1,-3781.0,-803.9,-672.5,-1177.8,-2379.1,-3683.3,-7765.6
2050/01/01 06:00:00,-2090.7,-1768.6,-7961.3,-720.9,-1077.0,-11499.9,-390.0,-1430.5,-17711.8,-8970.0,-13447.2,-2702.2,-2924.8,-1486.4,-3843.3,-260.3,-866.1,-2370.0,-3528.6,-660.1,-711.4,-2587.7,-1364.8,-1363.7,-659.0,-3534.5,-275.0,-3877.8,-824.5,-689.7,-1207.9,-2439.9,-3777.5,-7964.2
2050/01/01 07:00:00,-2120.0,-1793.4,-8072.8,-731.0,-1092.1,-11660.9,-395.5,-1450.6,-17959.8,-9095.6,-13635.5,-2740.1,-2965.7,-1507.2,-3897.1,-264.0,-878.2,-2403.2,-3578.0,-669.3,-721.4,-2624.0,-1384.0,-1382.8,-668.2,-3584.0,-278.9,-3932.1,-836.0,-699.4,-1224.8,-2474.1,-3830.4,-8075.7
2050/01/01 08:00:00,-2133.7,-1804.9,-8125.0,-735.7,-1099.2,-11736.2,-398.0,-1460.0,-18075.8,-9154.4,-13723.6,-2757.8,-2984.9,-1517.0,-3922.3,-265.7,-883.9,-2418.8,-3601.1,-673.6,-726.1,-2640.9,-1392.9,-1391.8,-672.5,-3607.2,-280.7,-3957.5,-841.4,-703.9,-1232.8,-2490.1,-3855.2,-8127.9
2050/01/01 09:00:00,-2094.1,-1771.4,-7974.1,-722.0,-1078.8,-11518.3,-390.6,-1432.8,-17740.1,-8984.4,-13468.7,-2706.6,-2929.4,-1488.8,-3849.5,-260.8,-867.5,-2373.8,-3534.2,-661.1,-712.6,-2591.9,-1367.0,-1365.9,-660.0,-3540.2,-275.4,-3884.0,-825.8,-690.8,-1209.9,-2443.8,-3783.6,-7977.0
2050/01/01 10:00:00,-2066.1,-1747.8,-7867.7,-712.4,-1064.4,-11364.6,-385.4,-1413.7,-17503.4,-8864.5,-13289.0,-2670.4,-2890.3,-1468.9,-3798.1,-257.3,-855.9,-2342.2,-3487.0,-652.3,-703.1,-2557.3,-1348.8,-1347.7,-651.2,-3492.9,-271.8,-3832.1,-814.8,-681.6,-1193.7,-2411.2,-3733.1,-7870.5
2050/01/01 11:00:00,-2209.3,-1868.8,-8412.7,-761.7,-1138.1,-12151.8,-412.1,-1511.6,-18715.8,-9478.5,-14209.5,-2855.4,-3090.5,-1570.7,-4061.2,-275.1,-915.2,-2504.4,-3728.6,-697.5,-751.8,-2734.4,-1442.2,-1441.0,-696.3,-3734.9,-290.6,-4097.6,-871.2,-728.8,-1276.4,-2578.3,-3991.7,-8415.7
2050/01/01 12:00:00,-2283.5,-1931.6,-8695.4,-787.3,-1176.3,-12560.1,-426.0,-1562.4,-19344.7,-9797.0,-14687.0,-2951.4,-3194.4,-1623.5,-4197.7,-284.3,-945.9,-2588.5,-3853.9,-720.9,-777.0,-2826.3,-1490.7,-1489.5,-719.7,-3860.4,-300.4,-4235.3,-900.5,-753.3,-1319.3,-2664.9,-4125.8,-8698.5
