,Aceh,Bali,Banten,Bengkulu,Daerah_Istimewa_Yogyakarta,Daerah_Khusus_Ibukota_Jakarta,Gorontalo,Jambi,Jawa_Barat,Jawa_Tengah,Jawa_Timur,Kalimantan_Barat,Kalimantan_Selatan,Kalimantan_Tengah,Kalimantan_Timur,Kalimantan_Utara,Kepulauan_Bangka_Belitung,Kepulauan_Riau,Lampung,Maluku,Maluku_Utara,Nusa_Tenggara_Barat,Nusa_Tenggara_Timur,Papua,Papua_Barat,Riau,Sulawesi_Barat,Sulawesi_Selatan,Sulawesi_Tengah,Sulawesi_Tenggara,Sulawesi_Utara,Sumatera_Barat,Sumatera_Selatan,Sumatera_Utara
2050/01/01 00:00:00,-1809.9,-1496.5,-6736.4,-624.4,-911.3,-9730.6,-336.8,-1238.6,-14986.8,-7590.1,-11378.3,-2365.9,-2560.4,-1301.3,-3364.6,-228.1,-750.1,-2052.0,-3055.0,-581.4,-627.2,-2279.8,-1202.2,-1201.1,-580.7,-3059.9,-237.4,-3346.8,-711.7,-595.5,-1042.7,-2112.6,-3270.3,-6895.3
2050/01/01 01:00:00,-1867.7,-1544.2,-6951.2,-644.3,-940.3,-10040.9,-347.6,-1278.1,-15464.7,-7832.1,-11741.1,-2441.3,-2642.1,-1342.8,-3471.9,-235.4,-774.0,-2117.4,-3152.4,-599.9,-647.2,-2352.5,-1240.6,-1239.4,-599.2,-3157.5,-244.9,-3453.5,-734.4,-614.5,-1075.9,-2180.0,-3374.5,-7115.2
2050/01/01 02:00:00,-1942.2,-1605.8,-7228.8,-670.0,-977.9,-10441.9,-361.4,-1329.2,-16082.2,-8144.9,-12210.0,-2538.8,-2747.6,-1396.4,-3610.5,-244.7,-804.9,-2202.0,-3278.3,-623.9,-673.1,-2446.4,-1290.1,-1288.9,-623.1,-3283.6,-254.7,-3591.4,-763.7,-639.0,-1118.9,-2267.0,-3509.3,-7399.3
2050/01/01 03:00:00,-1964.6,-1624.3,-7312.0,-677.7,-989.2,-10562.1,-365.6,-1344.5,-16267.4,-8238.7,-12350.6,-2568.0,-2779.2,-1412.5,-3652.1,-247.6,-814.1,-2227.3,-3316.0,-631.0,-680.8,-2474.6,-1305.0,-1303.7,-630.3,-3321.4,-257.7,-3632.8,-772.5,-646.3,-1131.8,-2293.1,-3549.7,-7484.5
2050/01/01 04:00:00,-1956.3,-1617.4,-7281.0,-674.8,-985.0,-10517.2,-364.1,-1338.8,-16198.3,-8203.7,-12298.1,-2557.1,-2767.4,-1406.5,-3636.6,-246.5,-810.7,-2217.9,-3302.0,-628.4,-677.9,-2464.1,-1299.4,-1298.2,-627.6,-3307.3,-256.6,-3617.3,-769.2,-643.6,-1127.0,-2283.4,-3534.6,-7452.7
2050/01/01 05:00:00,-1956.9,-1618.0,-7283.5,-675.1,-985.3,-10520.8,-364.2,-1339.2,-16203.9,-8206.5,-12302.3,-2558.0,-2768.4,-1407.0,-3637.8,-246.6,-811.0,-2218.6,-3303.1,-628.6,-678.1,-2464.9,-1299.9,-1298.6,-627.8,-3308.4,-256.7,-3618.6,-769.5,-643.8,-1127.4,-2284.2,-3535.8,-7455.3
2050/01/01 06:00:00,-1970.1,-1628.8,-7332.4,-679.6,-991.9,-10591.5,-366.6,-1348.2,-16312.7,-8261.6,-12384.9,-2575.2,-2787.0,-1416.4,-3662.3,-248.3,-816.4,-2233.5,-3325.3,-632.8,-682.7,-2481.5,-1308.6,-1307.3,-632.0,-3330.6,-258.4,-3642.9,-774.6,-648.1,-1134.9,-2299.5,-3559.6,-7505.3
2050/01/01 07:00:00,-1985.9,-1641.9,-7391.2,-685.1,-999.9,-10676.4,-369.6,-1359.0,-16443.6,-8327.9,-12484.3,-2595.8,-2809.3,-1427.8,-3691.6,-250.2,-823.0,-2251.4,-3351.9,-637.9,-688.2,-2501.4,-1319.1,-1317.8,-637.1,-3357.4,-260.4,-3672.1,-780.8,-653.3,-1144.0,-2318.0,-3588.1,-7565.6
2050/01/01 08:00:00,-2003.9,-1656.8,-7458.2,-691.3,-1008.9,-10773.2,-372.9,-1371.3,-16592.5,-8403.3,-12597.4,-2619.4,-2834.8,-1440.7,-3725.1,-252.5,-830.4,-2271.8,-3382.3,-643.7,-694.4,-2524.1,-1331.0,-1329.8,-642.9,-3387.8,-262.8,-3705.4,-787.9,-659.3,-1154.4,-2339.0,-3620.6,-7634.1
2050/01/01 09:00:00,-1995.3,-1649.7,-7426.4,-688.3,-1004.6,-10727.3,-371.3,-1365.5,-16521.9,-8367.5,-12543.8,-2608.2,-2822.7,-1434.6,-3709.2,-251.4,-826.9,-2262.2,-3367.9,-640.9,-691.5,-2513.3,-1325.4,-1324.1,-640.1,-3373.4,-261.7,-3689.6,-784.6,-656.5,-1149.5,-2329.0,-3605.2,-7601.6
