,Aceh,Bali,Banten,Bengkulu,Daerah_Istimewa_Yogyakarta,Gorontalo,Jawa_Barat,Jawa_Tengah,Jawa_Timur,Kalimantan_Selatan,Kalimantan_Timur,Kalimantan_Utara,Lampung,Maluku,Maluku_Utara,Nusa_Tenggara_Barat,Nusa_Tenggara_Timur,Papua,Papua_Barat,Sulawesi_Barat,Sulawesi_Selatan,Sulawesi_Tengah,Sulawesi_Tenggara,Sulawesi_Utara,Sumatera_Barat,Sumatera_Utara
2040/01/01 00:00:00,0.6340,0.7185,0.7410,0.7355,0.7481,0.7301,0.7309,0.7412,0.7147,0.7073,0.7126,0.7059,0.7447,0.7189,0.7290,0.7323,0.7258,0.7195,0.7277,0.7145,0.7196,0.7230,0.7217,0.7256,0.6665,0.6634
2040/01/01 01:00:00,0.6340,0.7185,0.7410,0.7355,0.7481,0.7301,0.7309,0.7412,0.7147,0.7073,0.7126,0.7059,0.7447,0.7189,0.7290,0.7323,0.7258,0.7195,0.7277,0.7145,0.7196,0.7230,0.7217,0.7256,0.6665,0.6634
2040/01/01 02:00:00,0.6340,0.7185,0.7410,0.7355,0.7481,0.7301,0.7309,0.7412,0.7147,0.7073,0.7126,0.7059,0.7447,0.7189,0.7290,0.7323,0.7258,0.7195,0.7277,0.7145,0.7196,0.7230,0.7217,0.7256,0.6665,0.6634
2040/01/01 03:00:00,0.6340,0.7185,0.7410,0.7355,0.7481,0.7301,0.7309,0.7412,0.7147,0.7073,0.7126,0.7059,0.7447,0.7189,0.7290,0.7323,0.7258,0.7195,0.7277,0.7145,0.7196,0.7230,0.7217,0.7256,0.6665,0.6634
2040/01/01 04:00:00,0.6340,0.7185,0.7410,0.7355,0.7481,0.7301,0.7309,0.7412,0.7147,0.7073,0.7126,0.7059,0.7447,0.7189,0.7290,0.7323,0.7258,0.7195,0.7277,0.7145,0.7196,0.7230,0.7217,0.7256,0.6665,0.6634
2040/01/01 05:00:00,0.6340,0.7185,0.7410,0.7355,0.7481,0.7301,0.7309,0.7412,0.7147,0.7073,0.7126,0.7059,0.7447,0.7189,0.7290,0.7323,0.7258,0.7195,0.7277,0.7145,0.7196,0.7230,0.7217,0.7256,0.6665,0.6634
2040/01/01 06:00:00,0.6340,0.7185,0.7410,0.7355,0.7481,0.7301,0.7309,0.7412,0.7147,0.7073,0.7126,0.7059,0.7447,0.7189,0.7290,0.7323,0.7258,0.7195,0.7277,0.7145,0.7196,0.7230,0.7217,0.7256,0.6665,0.6634
2040/01/01 07:00:00,0.6340,0.7185,0.7410,0.7355,0.7481,0.7301,0.7309,0.7412,0.7147,0.7073,0.7126,0.7059,0.7447,0.7189,0.7290,0.7323,0.7258,0.7195,0.7277,0.7145,0.7196,0.7230,0.7217,0.7256,0.6665,0.6634
2040/01/01 08:00:00,0.6340,0.7185,0.7410,0.7355,0.7481,0.7301,0.7309,0.7412,0.7147,0.7073,0.7126,0.7059,0.7447,0.7189,0.7290,0.7323,0.7258,0.7195,0.7277,0.7145,0.7196,0.7230,0.7217,0.7256,0.6665,0.6634
2040/01/01 09:00:00,0.6340,0.7185,0.7410,0.7355,0.7481,0.7301,0.7309,0.7412,0.7147,0.7073,0.7126,0.7059,0.7447,0.7189,0.7290,0.7323,0.7258,0.7195,0.7277,0.7145,0.7196,0.7230,0.7217,0.7256,0.6665,0.6634
2040/01/01 10:00:00,0.6340,0.7185,0.7410,0.7355,0.7481,0.7301,0.7309,0.7412,0.7147,0.7073,0.7126,0.7059,0.7447,0.7189,0.7290,0.7323,0.7258,0.7195,0.7277,0.7145,0.7196,0.7230,0.7217,0.7256,0.6665,0.6634
2040/01/01 11:00:00,0.6340,0.7185,0.7410,0.7355,0.7481,0.7301,0.7309,0.7412,0.7147,0.7073,0.7126,0.7059,0.7447,0.7189,0.7290,0.7323,0.7258,0.7195,0.7277,0.7145,0.7196,0.7230,0.7217,0.7256,0.6665,0.6634
2040/01/01 12:00:00,0.6329,0.7198,0.7423,0.7361,0.7480,0.7314,0.7311,0.7405,0.7142,0.7060,0.7131,0.7042,0.7443,0.7195,0.7290,0.7319,0.7264,0.7184,0.7279,0.7154,0.7199,0.7234,0.7221,0.7260,0.6661,0.6607
2040/01/01 13:00:00,0.6329,0.7198,0.7423,0.7361,0.7480,0.7314,0.7311,0.7405,0.7142,0.7060,0.7131,0.7042,0.7443,0.7195,0.7290,0.7319,0.7264,0.7184,0.7279,0.7154,0.7199,0.7234,0.7221,0.7260,0.6661,0.6607
2040/01/01 14:00:00,0.6329,0.7198,0.7423,0.7361,0.7480,0.7314,0.7311,0.7405,0.7142,0.7060,0.7131,0.7042,0.7443,0.7195,0.7290,0.7319,0.7264,0.7184,0.7279,0.7154,0.7199,0.7234,0.7221,0.7260,0.6661,0.6607
2040/01/01 15:00:00,0.6329,0.7198,0.7423,0.7361,0.7480,0.7314,0.7311,0.7405,0.7142,0.7060,0.7131,0.7042,0.7443,0.7195,0.7290,0.7319,0.7264,0.7184,0.7279,0.7154,0.7199,0.7234,0.7221,0.7260,0.6661,0.6607
