,Aceh,Bali,Banten,Bengkulu,Daerah_Istimewa_Yogyakarta,Daerah_Khusus_Ibukota_Jakarta,Gorontalo,Jambi,Jawa_Barat,Jawa_Tengah,Jawa_Timur,Kalimantan_Barat,Kalimantan_Selatan,Kalimantan_Tengah,Kalimantan_Timur,Kalimantan_Utara,Kepulauan_Bangka_Belitung,Kepulauan_Riau,Lampung,Maluku,Maluku_Utara,Nusa_Tenggara_Barat,Nusa_Tenggara_Timur,Papua,Papua_Barat,Riau,Sulawesi_Barat,Sulawesi_Selatan,Sulawesi_Tengah,Sulawesi_Tenggara,Sulawesi_Utara,Sumatera_Barat,Sumatera_Selatan,Sumatera_Utara
2040/01/01 00:00:00,-982.0,-1044.9,-4703.6,-338.6,-636.3,-6794.1,-188.9,-672.0,-10464.1,-5299.5,-7944.6,-1134.9,-1228.4,-624.3,-1614.2,-109.4,-406.8,-1113.2,-1657.3,-260.2,-280.4,-1020.0,-538.0,-537.5,-259.8,-1660.1,-133.2,-1878.3,-399.4,-334.1,-585.1,-1146.0,-1774.2,-3740.7
2040/01/01 01:00:00,-990.3,-1053.8,-4743.5,-341.4,-641.7,-6851.8,-190.5,-677.7,-10553.0,-5344.5,-8012.1,-1144.6,-1238.8,-629.6,-1627.9,-110.3,-410.3,-1122.6,-1671.4,-262.4,-282.8,-1028.7,-542.5,-542.1,-262.0,-1674.2,-134.3,-1894.2,-402.8,-336.9,-590.0,-1155.8,-1789.3,-3772.5
2040/01/01 02:00:00,-1035.7,-1102.1,-4960.8,-357.1,-671.1,-7165.7,-199.2,-708.7,-11036.5,-5589.3,-8379.2,-1197.0,-1295.5,-658.4,-1702.5,-115.3,-429.1,-1174.1,-1748.0,-274.4,-295.8,-1075.8,-567.4,-566.9,-274.0,-1750.9,-140.5,-1981.0,-421.2,-352.4,-617.1,-1208.7,-1871.2,-3945.3
2040/01/01 03:00:00,-1057.7,-1125.6,-5066.6,-364.7,-685.4,-7318.5,-203.5,-723.8,-11271.8,-5708.5,-8557.8,-1222.5,-1323.2,-672.5,-1738.8,-117.8,-438.2,-1199.1,-1785.2,-280.3,-302.1,-1098.7,-579.5,-579.0,-279.8,-1788.2,-143.5,-2023.2,-430.2,-359.9,-630.2,-1234.5,-1911.1,-4029.4
2040/01/01 04:00:00,-1050.7,-1118.1,-5033.0,-362.3,-680.9,-7269.9,-202.1,-719.0,-11196.9,-5670.6,-8501.0,-1214.4,-1314.4,-668.0,-1727.3,-117.0,-435.3,-1191.1,-1773.4,-278.4,-300.1,-1091.4,-575.6,-575.1,-277.9,-1776.3,-142.5,-2009.8,-427.4,-357.5,-626.0,-1226.3,-1898.4,-4002.6
2040/01/01 05:00:00,-1065.0,-1133.3,-5101.4,-367.2,-690.1,-7368.8,-204.9,-728.8,-11349.2,-5747.7,-8616.6,-1230.9,-1332.2,-677.1,-1750.8,-118.6,-441.2,-1207.3,-1797.5,-282.2,-304.2,-1106.3,-583.5,-583.0,-281.7,-1800.5,-144.5,-2037.1,-433.2,-362.4,-634.6,-1243.0,-1924.3,-4057.1
2040/01/01 06:00:00,-1076.7,-1145.7,-5157.4,-371.2,-697.7,-7449.6,-207.1,-736.8,-11473.8,-5810.8,-8711.2,-1244.4,-1346.9,-684.5,-1770.0,-119.9,-446.1,-1220.6,-1817.2,-285.3,-307.5,-1118.4,-589.9,-589.4,-284.8,-1820.3,-146.0,-2059.5,-437.9,-366.3,-641.5,-1256.6,-1945.4,-4101.6
2040/01/01 07:00:00,-1064.1,-1132.4,-5097.3,-366.9,-689.6,-7362.8,-204.7,-728.2,-11340.1,-5743.1,-8609.7,-1229.9,-1331.2,-676.6,-1749.3,-118.5,-440.9,-1206.3,-1796.0,-282.0,-303.9,-1105.4,-583.0,-582.5,-281.5,-1799.0,-144.3,-2035.5,-432.8,-362.1,-634.0,-1242.0,-1922.7,-4053.8
2040/01/01 08:00:00,-1044.3,-1111.3,-5002.4,-360.1,-676.7,-7225.8,-200.9,-714.6,-11129.1,-5636.2,-8449.5,-1207.1,-1306.4,-664.0,-1716.8,-116.3,-432.7,-1183.9,-1762.6,-276.7,-298.3,-1084.8,-572.1,-571.7,-276.3,-1765.6,-141.7,-1997.6,-424.8,-355.3,-622.2,-1218.9,-1886.9,-3978.4
2040/01/01 09:00:00,-1067.0,-1135.4,-5110.9,-367.9,-691.4,-7382.5,-205.3,-730.1,-11370.3,-5758.4,-8632.7,-1233.2,-1334.7,-678.4,-1754.0,-118.8,-442.1,-1209.6,-1800.8,-282.7,-304.7,-1108.4,-584.5,-584.1,-282.2,-1803.8,-144.7,-2040.9,-434.0,-363.0,-635.7,-1245.3,-1927.8,-4064.6
