,Aceh,Bali,Banten,Bengkulu,Daerah_Istimewa_Yogyakarta,Daerah_Khusus_Ibukota_Jakarta,Gorontalo,Jambi,Jawa_Barat,Jawa_Tengah,Jawa_Timur,Kalimantan_Barat,Kalimantan_Selatan,Kalimantan_Tengah,Kalimantan_Timur,Kalimantan_Utara,Kepulauan_Bangka_Belitung,Kepulauan_Riau,Lampung,Maluku,Maluku_Utara,Nusa_Tenggara_Barat,Nusa_Tenggara_Timur,Papua,Papua_Barat,Riau,Sulawesi_Barat,Sulawesi_Selatan,Sulawesi_Tengah,Sulawesi_Tenggara,Sulawesi_Utara,Sumatera_Barat,Sumatera_Selatan,Sumatera_Utara
2040/01/01 00:00:00,-1397.6,-2353.0,-10592.0,-481.9,-1432.8,-15299.7,-286.0,-956.2,-23564.3,-11934.0,-17890.5,-1291.7,-1398.0,-710.5,-1837.1,-124.4,-579.0,-1584.2,-2358.7,-260.8,-281.1,-1022.5,-539.3,-538.9,-260.4,-2362.7,-201.7,-2843.3,-604.6,-505.7,-885.7,-1631.1,-2525.1,-5323.7
2040/01/01 01:00:00,-1409.4,-2373.0,-10681.9,-486.0,-1445.0,-15429.6,-288.4,-964.4,-23764.4,-12035.3,-18042.4,-1302.6,-1409.9,-716.5,-1852.7,-125.5,-583.9,-1597.7,-2378.8,-263.0,-283.5,-1031.2,-543.9,-543.4,-262.6,-2382.7,-203.4,-2867.4,-609.7,-510.0,-893.2,-1644.9,-2546.5,-5368.9
2040/01/01 02:00:00,-1474.0,-2481.7,-11171.3,-508.2,-1511.2,-16136.5,-301.6,-1008.5,-24853.1,-12586.7,-18869.0,-1362.3,-1474.5,-749.3,-1937.5,-131.2,-610.6,-1670.9,-2487.7,-275.1,-296.4,-1078.5,-568.8,-568.3,-274.6,-2491.9,-212.7,-2998.8,-637.7,-533.4,-934.1,-1720.3,-2663.2,-5614.9
2040/01/01 03:00:00,-1505.4,-2534.6,-11409.4,-519.1,-1543.4,-16480.5,-308.1,-1030.0,-25383.0,-12855.0,-19271.3,-1391.4,-1505.9,-765.3,-1978.9,-134.0,-623.7,-1706.5,-2540.8,-281.0,-302.8,-1101.4,-580.9,-580.4,-280.5,-2545.0,-217.3,-3062.7,-651.3,-544.7,-954.0,-1756.9,-2719.9,-5734.6
2040/01/01 04:00:00,-1495.4,-2517.8,-11333.7,-515.6,-1533.2,-16371.2,-306.0,-1023.2,-25214.5,-12769.7,-19143.4,-1382.1,-1495.9,-760.2,-1965.7,-133.1,-619.5,-1695.2,-2523.9,-279.1,-300.8,-1094.1,-577.1,-576.6,-278.6,-2528.1,-215.8,-3042.4,-646.9,-541.1,-947.7,-1745.3,-2701.9,-5696.6
2040/01/01 05:00:00,-1515.8,-2552.0,-11487.8,-522.6,-1554.0,-16593.8,-310.2,-1037.1,-25557.4,-12943.3,-19403.7,-1400.9,-1516.2,-770.6,-1992.4,-134.9,-627.9,-1718.2,-2558.2,-282.9,-304.8,-1109.0,-584.9,-584.4,-282.4,-2562.5,-218.8,-3083.8,-655.7,-548.5,-960.6,-1769.0,-2738.6,-5774.0
2040/01/01 06:00:00,-1532.4,-2580.0,-11613.9,-528.4,-1571.1,-16775.9,-313.6,-1048.5,-25837.9,-13085.4,-19616.7,-1416.3,-1532.9,-779.0,-2014.3,-136.4,-634.8,-1737.1,-2586.3,-286.0,-308.2,-1121.2,-591.3,-590.8,-285.5,-2590.6,-221.2,-3117.6,-662.9,-554.5,-971.1,-1788.4,-2768.7,-5837.4
2040/01/01 07:00:00,-1514.5,-2550.0,-11478.6,-522.2,-1552.8,-16580.4,-309.9,-1036.3,-25536.8,-12932.9,-19388.1,-1399.8,-1515.0,-769.9,-1990.8,-134.8,-627.4,-1716.8,-2556.2,-282.7,-304.6,-1108.1,-584.4,-584.0,-282.2,-2560.4,-218.6,-3081.3,-655.2,-548.0,-959.8,-1767.6,-2736.4,-5769.4
2040/01/01 08:00:00,-1486.4,-2502.5,-11265.0,-512.5,-1523.9,-16271.9,-304.2,-1017.0,-25061.7,-12692.3,-19027.4,-1373.8,-1486.8,-755.6,-1953.8,-132.3,-615.8,-1684.9,-2508.6,-277.4,-298.9,-1087.5,-573.6,-573.1,-276.9,-2512.8,-214.5,-3024.0,-643.0,-537.8,-941.9,-1734.7,-2685.5,-5662.0
2040/01/01 09:00:00,-1518.6,-2556.8,-11509.2,-523.6,-1556.9,-16624.7,-310.8,-1039.1,-25605.0,-12967.5,-19439.9,-1403.5,-1519.1,-772.0,-1996.2,-135.2,-629.1,-1721.4,-2563.0,-283.4,-305.4,-1111.1,-586.0,-585.5,-282.9,-2567.3,-219.2,-3089.5,-657.0,-549.5,-962.4,-1772.3,-2743.7,-5784.8
2040/01/01 10:00:00,-1585.1,-2668.7,-12013.3,-546.5,-1625.1,-17352.8,-324.4,-1084.6,-26726.5,-13535.4,-20291.3,-1465.0,-1585.6,-805.8,-2083.6,-141.1,-656.7,-1796.8,-2675.2,-295.8,-318.8,-1159.7,-611.7,-611.2,-295.3,-2679.7,-228.8,-3224.8,-685.7,-573.6,-1004.5,-1849.9,-2863.9,-6038.2
2040/01/01 11:00:00,-1820.4,-3065.0,-13796.9,-627.7,-1866.4,-19929.2,-372.5,-1245.6,-30694.5,-15545.0,-23303.9,-1682.5,-1821.0,-925.4,-2392.9,-162.1,-754.2,-2063.6,-3072.4,-339.7,-366.1,-1331.9,-702.5,-701.9,-339.2,-3077.6,-262.7,-3703.6,-787.5,-658.7,-1153.7,-2124.6,-3289.1,-6934.6
2040/01/01 12:00:00,-1932.4,-3253.5,-14645.6,-666.3,-1981.2,-21155.0,-395.4,-1322.2,-32582.5,-16501.2,-24737.4,-1786.0,-1933.0,-982.4,-2540.1,-172.0,-800.6,-2190.5,-3261.4,-360.6,-388.6,-1413.9,-745.7,-745.1,-360.0,-3266.9,-278.9,-3931.4,-836.0,-699.2,-1224.6,-2255.3,-3491.4,-7361.2
2040/01/01 13:00:00,-1883.5,-3171.2,-14275.1,-649.4,-1931.1,-20619.9,-385.4,-1288.8,-31758.3,-16083.8,-24111.6,-1740.8,-1884.1,-957.5,-2475.9,-167.7,-780.3,-2135.1,-3178.9,-351.5,-378.8,-1378.1,-726.8,-726.2,-350.9,-3184.2,-271.9,-3832.0,-814.8,-681.6,-1193.6,-2198.2,-3403.1,-7175.0
2040/01/01 14:00:00,-1821.1,-3066.0,-13801.7,-627.9,-1867.0,-19936.1,-372.7,-1246.0,-30705.1,-15550.4,-23312.0,-1683.1,-1821.6,-925.8,-2393.8,-162.1,-754.4,-2064.3,-3073.5,-339.9,-366.2,-1332.4,-702.7,-702.1,-339.3,-3078.6,-262.8,-3704.9,-787.8,-659.0,-1154.0,-2125.3,-3290.2,-6937.0
2040/01/01 15:00:00,-1698.2,-2859.2,-12870.5,-585.5,-1741.1,-18591.0,-347.5,-1161.9,-28633.4,-14501.2,-21739.1,-1569.5,-1698.7,-863.3,-2232.3,-151.2,-703.5,-1925.0,-2866.1,-316.9,-341.5,-1242.5,-655.3,-654.8,-316.4,-2870.9,-245.1,-3454.9,-734.7,-614.5,-1076.2,-1981.9,-3068.2,-6469.0
2040/01/01 16:00:00,-1559.9,-2626.4,-11822.7,-537.9,-1599.3,-17077.5,-319.2,-1067.4,-26302.4,-13320.6,-19969.3,-1441.8,-1560.4,-793.0,-2050.5,-138.9,-646.3,-1768.3,-2632.8,-291.1,-313.7,-1141.3,-602.0,-601.5,-290.6,-2637.2,-225.1,-3173.7,-674.8,-564.5,-988.6,-1820.6,-2818.5,-5942.3
2040/01/01 17:00:00,-1489.3,-2507.4,-11287.0,-513.5,-1526.9,-16303.7,-304.8,-1019.0,-25110.5,-12717.0,-19064.5,-1376.4,-1489.7,-757.1,-1957.6,-132.6,-617.0,-1688.2,-2513.5,-277.9,-299.5,-1089.6,-574.7,-574.2,-277.5,-2517.7,-214.9,-3029.9,-644.3,-538.9,-943.8,-1738.1,-2690.7,-5673.1
2040/01/01 18:00:00,-1421.4,-2393.2,-10772.7,-490.1,-1457.3,-15560.9,-290.9,-972.6,-23966.5,-12137.7,-18195.9,-1313.7,-1421.9,-722.6,-1868.4,-126.5,-588.9,-1611.3,-2399.0,-265.3,-285.9,-1040.0,-548.5,-548.0,-264.8,-2403.0,-205.2,-2891.8,-614.9,-514.3,-900.8,-1658.9,-2568.2,-5414.6
2040/01/01 19:00:00,-1326.1,-2232.7,-10050.7,-457.3,-1359.6,-14517.8,-271.4,-907.4,-22360.1,-11324.1,-16976.2,-1225.7,-1326.6,-674.2,-1743.2,-118.1,-549.4,-1503.3,-2238.2,-247.5,-266.7,-970.3,-511.7,-511.3,-247.1,-2241.9,-191.4,-2698.0,-573.7,-479.9,-840.4,-1547.7,-2396.0,-5051.7
2040/01/01 20:00:00,-1245.2,-2096.5,-9437.6,-429.4,-1276.7,-13632.2,-254.8,-852.0,-20996.1,-10633.3,-15940.7,-1150.9,-1245.6,-633.0,-1636.9,-110.9,-515.9,-1411.6,-2101.7,-232.4,-250.4,-911.1,-480.5,-480.1,-232.0,-2105.2,-179.7,-2533.4,-538.7,-450.6,-789.1,-1453.3,-2249.9,-4743.5
2040/01/01 21:00:00,-1259.6,-2120.8,-9546.8,-434.3,-1291.5,-13790.0,-257.8,-861.9,-21239.0,-10756.3,-16125.1,-1164.2,-1260.0,-640.4,-1655.8,-112.1,-521.8,-1427.9,-2126.0,-235.1,-253.3,-921.6,-486.1,-485.7,-234.7,-2129.5,-181.8,-2562.7,-544.9,-455.8,-798.3,-1470.1,-2275.9,-4798.4
2040/01/01 22:00:00,-1332.2,-2243.0,-10096.7,-459.4,-1365.8,-14584.4,-272.6,-911.5,-22462.5,-11376.0,-17054.0,-1231.3,-1332.6,-677.2,-1751.2,-118.6,-551.9,-1510.1,-2248.4,-248.6,-267.9,-974.7,-514.1,-513.7,-248.2,-2252.2,-192.3,-2710.4,-576.3,-482.1,-844.3,-1554.8,-2407.0,-5074.8
2040/01/01 23:00:00,-1362.3,-2293.7,-10325.0,-469.7,-1396.7,-14914.2,-278.8,-932.1,-22970.5,-11633.2,-17439.7,-1259.1,-1362.8,-692.6,-1790.8,-121.3,-564.4,-1544.3,-2299.3,-254.3,-274.0,-996.8,-525.7,-525.3,-253.8,-2303.1,-196.6,-2771.6,-589.4,-493.0,-863.3,-1590.0,-2461.4,-5189.6
2040/01/02 00:00:00,-1412.7,-2378.5,-10706.7,-487.1,-1448.4,-15465.4,-289.1,-966.6,-23819.5,-12063.2,-18084.3,-1305.7,-1413.1,-718.2,-1857.0,-125.8,-585.2,-1601.4,-2384.3,-263.7,-284.1,-1033.6,-545.1,-544.7,-263.2,-2388.3,-203.9,-2874.1,-611.1,-511.2,-895.3,-1648.7,-2552.4,-5381.4
2040/01/02 01:00:00,-1545.8,-2602.5,-11715.2,-533.0,-1584.8,-16922.2,-316.3,-1057.7,-26063.2,-13199.5,-19787.8,-1428.7,-1546.3,-785.8,-2031.9,-137.6,-640.4,-1752.2,-2608.9,-288.5,-310.9,-1131.0,-596.5,-596.0,-288.0,-2613.2,-223.1,-3144.8,-668.7,-559.3,-979.6,-1804.0,-2792.8,-5888.3
2040/01/02 02:00:00,-1635.7,-2753.9,-12396.6,-564.0,-1677.0,-17906.5,-334.7,-1119.2,-27579.2,-13967.3,-20938.7,-1511.8,-1636.2,-831.5,-2150.1,-145.6,-677.6,-1854.1,-2760.6,-305.3,-329.0,-1196.7,-631.2,-630.7,-304.7,-2765.2,-236.1,-3327.7,-707.6,-591.9,-1036.6,-1909.0,-2955.3,-6230.8
2040/01/02 03:00:00,-1706.0,-2872.3,-12929.6,-588.2,-1749.1,-18676.4,-349.1,-1167.3,-28765.0,-14567.8,-21839.0,-1576.8,-1706.5,-867.3,-2242.5,-151.9,-706.8,-1933.9,-2879.3,-318.4,-343.1,-1248.2,-658.3,-657.8,-317.8,-2884.1,-246.2,-3470.8,-738.0,-617.3,-1081.1,-1991.0,-3082.3,-6498.7
