,Aceh,Bali,Banten,Bengkulu,Daerah_Istimewa_Yogyakarta,Daerah_Khusus_Ibukota_Jakarta,Gorontalo,Jambi,Jawa_Barat,Jawa_Tengah,Jawa_Timur,Kalimantan_Barat,Kalimantan_Selatan,Kalimantan_Tengah,Kalimantan_Timur,Kalimantan_Utara,Kepulauan_Bangka_Belitung,Kepulauan_Riau,Lampung,Maluku,Maluku_Utara,Nusa_Tenggara_Barat,Nusa_Tenggara_Timur,Papua,Papua_Barat,Riau,Sulawesi_Barat,Sulawesi_Selatan,Sulawesi_Tengah,Sulawesi_Tenggara,Sulawesi_Utara,Sumatera_Barat,Sumatera_Selatan,Sumatera_Utara
2040/01/01 00:00:00,-972.8,-1011.7,-4554.3,-335.6,-616.1,-6578.6,-186.7,-665.7,-10132.2,-5131.4,-7692.5,-1137.1,-1230.6,-625.4,-1617.1,-109.6,-403.1,-1102.9,-1642.0,-262.2,-282.9,-1028.3,-542.3,-541.8,-261.9,-1644.6,-131.6,-1855.1,-394.5,-330.1,-578.0,-1135.5,-1757.7,-3706.0
2040/01/01 01:00:00,-1003.8,-1044.0,-4699.5,-346.3,-635.7,-6788.3,-192.7,-686.9,-10455.2,-5295.1,-7937.8,-1173.3,-1269.8,-645.4,-1668.7,-113.1,-416.0,-1138.0,-1694.3,-270.6,-291.9,-1061.1,-559.6,-559.0,-270.3,-1697.1,-135.8,-1914.3,-407.1,-340.6,-596.4,-1171.7,-1813.7,-3824.2
2040/01/01 02:00:00,-1043.9,-1085.7,-4887.2,-360.1,-661.1,-7059.4,-200.3,-714.4,-10872.7,-5506.5,-8254.8,-1220.2,-1320.6,-671.1,-1735.3,-117.6,-432.6,-1183.5,-1762.0,-281.4,-303.6,-1103.5,-581.9,-581.4,-281.1,-1764.8,-141.2,-1990.7,-423.3,-354.2,-620.2,-1218.5,-1886.1,-3976.9
2040/01/01 03:00:00,-1055.9,-1098.2,-4943.4,-364.3,-668.7,-7140.7,-202.7,-722.6,-10997.9,-5569.9,-8349.9,-1234.3,-1335.8,-678.9,-1755.3,-119.0,-437.6,-1197.1,-1782.3,-284.6,-307.1,-1116.2,-588.6,-588.1,-284.3,-1785.2,-142.8,-2013.6,-428.2,-358.3,-627.3,-1232.5,-1907.8,-4022.7
2040/01/01 04:00:00,-1051.4,-1093.5,-4922.4,-362.7,-665.9,-7110.4,-201.8,-719.5,-10951.2,-5546.3,-8314.4,-1229.0,-1330.1,-676.0,-1747.8,-118.5,-435.7,-1192.0,-1774.7,-283.4,-305.8,-1111.5,-586.1,-585.6,-283.1,-1777.6,-142.2,-2005.1,-426.4,-356.7,-624.7,-1227.2,-1899.7,-4005.6
2040/01/01 05:00:00,-1051.8,-1093.9,-4924.1,-362.8,-666.1,-7112.8,-201.9,-719.8,-10954.9,-5548.1,-8317.2,-1229.4,-1330.5,-676.2,-1748.4,-118.5,-435.9,-1192.4,-1775.3,-283.5,-305.9,-1111.8,-586.3,-585.8,-283.2,-1778.2,-142.3,-2005.8,-426.5,-356.9,-624.9,-1227.7,-1900.4,-4007.0
2040/01/01 06:00:00,-1058.8,-1101.2,-4957.2,-365.3,-670.6,-7160.6,-203.2,-724.6,-11028.5,-5585.4,-8373.1,-1237.7,-1339.5,-680.8,-1760.2,-119.3,-438.8,-1200.4,-1787.2,-285.4,-307.9,-1119.3,-590.3,-589.7,-285.1,-1790.1,-143.2,-2019.2,-429.4,-359.3,-629.1,-1235.9,-1913.2,-4033.9
2040/01/01 07:00:00,-1067.3,-1110.0,-4997.0,-368.2,-676.0,-7218.0,-204.8,-730.4,-11117.0,-5630.2,-8440.3,-1247.6,-1350.2,-686.2,-1774.3,-120.3,-442.3,-1210.1,-1801.6,-287.7,-310.4,-1128.3,-595.0,-594.4,-287.4,-1804.5,-144.4,-2035.4,-432.8,-362.1,-634.1,-1245.8,-1928.5,-4066.2
2040/01/01 08:00:00,-1077.0,-1120.1,-5042.2,-371.5,-682.1,-7283.4,-206.7,-737.0,-11217.7,-5681.2,-8516.7,-1258.9,-1362.5,-692.4,-1790.4,-121.4,-446.3,-1221.0,-1817.9,-290.3,-313.2,-1138.5,-600.4,-599.8,-290.0,-1820.8,-145.7,-2053.9,-436.7,-365.4,-639.9,-1257.1,-1946.0,-4103.1
2040/01/01 09:00:00,-1072.4,-1115.3,-5020.8,-369.9,-679.2,-7252.4,-205.8,-733.9,-11170.0,-5657.0,-8480.5,-1253.6,-1356.7,-689.5,-1782.7,-120.8,-444.4,-1215.8,-1810.1,-289.1,-311.9,-1133.7,-597.8,-597.3,-288.7,-1813.1,-145.1,-2045.1,-434.9,-363.9,-637.2,-1251.8,-1937.7,-4085.6
2040/01/01 10:00:00,-1084.2,-1127.5,-5075.7,-374.0,-686.6,-7331.8,-208.1,-741.9,-11292.2,-5718.9,-8573.3,-1267.3,-1371.5,-697.0,-1802.2,-122.2,-449.3,-1229.1,-1830.0,-292.3,-315.3,-1146.1,-604.4,-603.8,-291.9,-1832.9,-146.6,-2067.5,-439.6,-367.9,-644.1,-1265.5,-1958.9,-4130.3
2040/01/01 11:00:00,-1176.8,-1223.9,-5509.4,-406.0,-745.3,-7958.2,-225.9,-805.3,-12257.0,-6207.6,-9305.8,-1375.6,-1488.7,-756.6,-1956.2,-132.6,-487.7,-1334.2,-1986.3,-317.2,-342.2,-1244.0,-656.0,-655.4,-316.8,-1989.5,-159.2,-2244.2,-477.2,-399.3,-699.2,-1373.6,-2126.3,-4483.2
2040/01/01 12:00:00,-1198.6,-1246.5,-5611.4,-413.5,-759.1,-8105.6,-230.0,-820.2,-12484.0,-6322.5,-9478.1,-1401.0,-1516.2,-770.6,-1992.5,-135.1,-496.7,-1358.9,-2023.1,-323.1,-348.6,-1267.0,-668.2,-667.5,-322.7,-2026.4,-162.1,-2285.7,-486.0,-406.7,-712.1,-1399.0,-2165.6,-4566.2
2040/01/01 13:00:00,-1177.8,-1224.9,-5514.0,-406.3,-745.9,-7964.9,-226.0,-806.0,-12267.3,-6212.8,-9313.6,-1376.7,-1489.9,-757.2,-1957.9,-132.7,-488.1,-1335.3,-1988.0,-317.5,-342.5,-1245.0,-656.6,-655.9,-317.1,-1991.2,-159.3,-2246.0,-477.6,-399.6,-699.8,-1374.7,-2128.1,-4487.0
2040/01/01 14:00:00,-1148.9,-1194.9,-5378.9,-396.3,-727.6,-7769.8,-220.5,-786.3,-11966.8,-6060.6,-9085.4,-1343.0,-1453.4,-738.7,-1909.9,-129.5,-476.1,-1302.6,-1939.3,-309.7,-334.1,-1214.5,-640.5,-639.9,-309.3,-1942.4,-155.4,-2191.0,-465.9,-389.8,-682.6,-1341.1,-2075.9,-4377.1
