,Aceh,Bali,Banten,Bengkulu,Daerah_Istimewa_Yogyakarta,Daerah_Khusus_Ibukota_Jakarta,Gorontalo,Jambi,Jawa_Barat,Jawa_Tengah,Jawa_Timur,Kalimantan_Barat,Kalimantan_Selatan,Kalimantan_Tengah,Kalimantan_Timur,Kalimantan_Utara,Kepulauan_Bangka_Belitung,Kepulauan_Riau,Lampung,Maluku,Maluku_Utara,Nusa_Tenggara_Barat,Nusa_Tenggara_Timur,Papua,Papua_Barat,Riau,Sulawesi_Barat,Sulawesi_Selatan,Sulawesi_Tengah,Sulawesi_Tenggara,Sulawesi_Utara,Sumatera_Barat,Sumatera_Selatan,Sumatera_Utara
2050/01/01 00:00:00,-1864.2,-1576.9,-7098.6,-642.7,-960.3,-10253.7,-347.7,-1275.5,-15792.5,-7998.0,-11990.0,-2409.4,-2607.8,-1325.3,-3426.9,-232.1,-772.2,-2113.2,-3146.2,-588.6,-634.3,-2307.3,-1217.0,-1215.9,-587.5,-3151.5,-245.2,-3457.6,-735.1,-615.0,-1077.0,-2175.5,-3368.2,-7101.2
2050/01/01 01:00:00,-1960.5,-1658.4,-7465.3,-675.9,-1009.9,-10783.3,-365.7,-1341.4,-16608.2,-8411.1,-12609.3,-2533.9,-2742.5,-1393.8,-3603.9,-244.1,-812.1,-2222.4,-3308.7,-619.0,-667.1,-2426.5,-1279.8,-1278.8,-617.9,-3314.3,-257.9,-3636.2,-773.1,-646.7,-1132.7,-2287.9,-3542.2,-7468.0
2050/01/01 02:00:00,-2063.9,-1745.9,-7859.2,-711.6,-1063.2,-11352.3,-385.0,-1412.2,-17484.5,-8854.9,-13274.7,-2667.6,-2887.2,-1467.3,-3794.0,-257.0,-855.0,-2339.6,-3483.3,-651.6,-702.3,-2554.5,-1347.3,-1346.2,-650.5,-3489.2,-271.5,-3828.0,-813.9,-680.9,-1192.4,-2408.6,-3729.1,-7862.0
2050/01/01 03:00:00,-2106.2,-1781.7,-8020.2,-726.2,-1085.0,-11584.9,-392.9,-1441.1,-17842.8,-9036.4,-13546.7,-2722.2,-2946.4,-1497.4,-3871.8,-262.3,-872.5,-2387.6,-3554.7,-665.0,-716.7,-2606.9,-1374.9,-1373.8,-663.8,-3560.6,-277.0,-3906.5,-830.6,-694.8,-1216.9,-2458.0,-3805.5,-8023.1
2050/01/01 04:00:00,-2107.0,-1782.3,-8023.2,-726.5,-1085.4,-11589.3,-393.0,-1441.7,-17849.5,-9039.8,-13551.7,-2723.2,-2947.5,-1498.0,-3873.2,-262.4,-872.8,-2388.5,-3556.0,-665.2,-717.0,-2607.9,-1375.5,-1374.3,-664.1,-3562.0,-277.1,-3907.9,-830.9,-695.1,-1217.3,-2458.9,-3806.9,-8026.1
2050/01/01 05:00:00,-2136.2,-1807.1,-8134.6,-736.5,-1100.5,-11750.1,-398.5,-1461.7,-18097.2,-9165.2,-13739.8,-2761.0,-2988.4,-1518.8,-3927.0,-266.0,-884.9,-2421.6,-3605.3,-674.4,-726.9,-2644.1,-1394.6,-1393.4,-673.3,-3611.4,-281.0,-3962.2,-842.4,-704.7,-1234.2,-2493.0,-3859.7,-8137.5
2050/01/01 06:00:00,-2191.4,-1853.7,-8344.6,-755.6,-1128.9,-12053.4,-408.8,-1499.4,-18564.4,-9401.8,-14094.5,-2832.3,-3065.5,-1558.0,-4028.3,-272.9,-907.8,-2484.1,-3698.4,-691.9,-745.7,-2712.3,-1430.5,-1429.4,-690.7,-3704.6,-288.2,-4064.4,-864.2,-722.9,-1266.1,-2557.4,-3959.4,-8347.6
2050/01/01 07:00:00,-2221.5,-1879.2,-8459.4,-766.0,-1144.4,-12219.2,-414.4,-1520.0,-18819.7,-9531.1,-14288.4,-2871.3,-3107.7,-1579.4,-4083.7,-276.6,-920.3,-2518.3,-3749.3,-701.4,-755.9,-2749.6,-1450.2,-1449.0,-700.2,-3755.6,-292.2,-4120.3,-876.1,-732.8,-1283.5,-2592.6,-4013.8,-8462.4
2050/01/01 08:00:00,-2249.5,-1902.8,-8565.7,-775.6,-1158.8,-12372.9,-419.6,-1539.2,-19056.4,-9651.0,-14468.1,-2907.4,-3146.8,-1599.3,-4135.1,-280.1,-931.9,-2550.0,-3796.4,-710.2,-765.4,-2784.2,-1468.5,-1467.3,-709.0,-3802.8,-295.9,-4172.2,-887.1,-742.1,-1299.6,-2625.2,-4064.3,-8568.8
2050/01/01 09:00:00,-2210.9,-1870.2,-8418.8,-762.3,-1138.9,-12160.6,-412.4,-1512.8,-18729.5,-9485.4,-14219.9,-2857.5,-3092.8,-1571.8,-4064.2,-275.3,-915.9,-2506.2,-3731.3,-698.0,-752.3,-2736.4,-1443.3,-1442.1,-696.8,-3737.6,-290.8,-4100.6,-871.9,-729.3,-1277.3,-2580.1,-3994.6,-8421.9
2050/01/01 10:00:00,-2178.4,-1842.8,-8295.3,-751.1,-1122.2,-11982.3,-406.4,-1490.6,-18454.8,-9346.3,-14011.3,-2815.6,-3047.4,-1548.8,-4004.6,-271.3,-902.4,-2469.5,-3676.6,-687.8,-741.3,-2696.3,-1422.1,-1420.9,-686.6,-3682.8,-286.5,-4040.4,-859.1,-718.6,-1258.6,-2542.3,-3936.0,-8298.3
2050/01/01 11:00:00,-2355.7,-1992.8,-8970.4,-812.2,-1213.6,-12957.4,-439.4,-1611.9,-19956.7,-10107.0,-15151.6,-3044.7,-3295.5,-1674.8,-4330.5,-293.3,-975.9,-2670.4,-3975.8,-743.7,-801.6,-2915.7,-1537.8,-1536.6,-742.5,-3982.5,-309.9,-4369.3,-929.0,-777.1,-1361.0,-2749.2,-4256.3,-8973.7
2050/01/01 12:00:00,-2445.9,-2069.0,-9313.8,-843.3,-1260.0,-13453.4,-456.3,-1673.6,-20720.5,-10493.8,-15731.5,-3161.3,-3421.6,-1738.9,-4496.2,-304.6,-1013.2,-2772.6,-4128.0,-772.2,-832.3,-3027.3,-1596.7,-1595.4,-770.9,-4134.9,-321.7,-4536.5,-964.5,-806.9,-1413.1,-2854.4,-4419.2,-9317.1
2050/01/01 13:00:00,-2442.3,-2066.0,-9300.0,-842.1,-1258.1,-13433.4,-455.6,-1671.1,-20689.8,-10478.2,-15708.2,-3156.6,-3416.5,-1736.3,-4489.5,-304.1,-1011.7,-2768.5,-4121.9,-771.1,-831.1,-3022.8,-1594.3,-1593.0,-769.7,-4128.8,-321.2,-4529.8,-963.1,-805.7,-1411.0,-2850.2,-4412.7,-9303.3
2050/01/01 14:00:00,-2410.4,-2039.0,-9178.6,-831.1,-1241.7,-13258.2,-449.6,-1649.3,-20419.9,-10341.5,-15503.3,-3115.4,-3371.9,-1713.7,-4431.0,-300.1,-998.5,-2732.4,-4068.1,-761.0,-820.2,-2983.4,-1573.5,-1572.2,-759.7,-4074.9,-317.0,-4470.7,-950.6,-795.2,-1392.6,-2813.0,-4355.1,-9182.0
