,Aceh,Bali,Banten,Bengkulu,Daerah_Istimewa_Yogyakarta,Daerah_Khusus_Ibukota_Jakarta,Gorontalo,Jambi,Jawa_Barat,Jawa_Tengah,Jawa_Timur,Kalimantan_Barat,Kalimantan_Selatan,Kalimantan_Tengah,Kalimantan_Timur,Kalimantan_Utara,Kepulauan_Bangka_Belitung,Kepulauan_Riau,Lampung,Maluku,Maluku_Utara,Nusa_Tenggara_Barat,Nusa_Tenggara_Timur,Papua,Papua_Barat,Riau,Sulawesi_Barat,Sulawesi_Selatan,Sulawesi_Tengah,Sulawesi_Tenggara,Sulawesi_Utara,Sumatera_Barat,Sumatera_Selatan,Sumatera_Utara
2050/01/01 00:00:00,-3180.0,-5354.4,-24103.3,-1097.0,-3260.6,-34816.8,-651.1,-2176.2,-53623.8,-27157.9,-40712.4,-2939.4,-3181.1,-1616.7,-4180.2,-283.4,-1317.8,-3605.3,-5367.6,-593.3,-640.1,-2326.5,-1226.9,-1225.7,-592.6,-5376.3,-458.9,-6469.9,-1375.8,-1151.1,-2015.7,-3711.8,-5745.8,-12115.0
2050/01/01 01:00:00,-3344.3,-5631.0,-25348.3,-1153.7,-3429.0,-36615.1,-684.8,-2288.6,-56393.5,-28560.6,-42815.2,-3091.2,-3345.4,-1700.3,-4396.1,-298.0,-1385.9,-3791.5,-5644.8,-623.9,-673.1,-2446.7,-1290.2,-1289.0,-623.2,-5653.9,-482.6,-6804.1,-1446.8,-1210.6,-2119.8,-3903.5,-6042.6,-12740.7
2050/01/01 02:00:00,-3520.8,-5928.1,-26685.8,-1214.5,-3610.0,-38547.1,-720.9,-2409.4,-59369.2,-30067.6,-45074.4,-3254.3,-3522.0,-1790.0,-4628.1,-313.7,-1459.0,-3991.6,-5942.7,-656.8,-708.6,-2575.8,-1358.3,-1357.0,-656.1,-5952.3,-508.1,-7163.1,-1523.2,-1274.5,-2231.7,-4109.5,-6361.4,-13413.0
2050/01/01 03:00:00,-3592.9,-6049.6,-27232.6,-1239.4,-3683.9,-39336.9,-735.7,-2458.8,-60585.6,-30683.7,-45997.9,-3321.0,-3594.1,-1826.6,-4722.9,-320.2,-1488.9,-4073.3,-6064.4,-670.3,-723.2,-2628.5,-1386.1,-1384.8,-669.5,-6074.2,-518.5,-7309.9,-1554.4,-1300.6,-2277.4,-4193.7,-6491.7,-13687.8
2050/01/01 04:00:00,-3594.2,-6051.8,-27242.8,-1239.9,-3685.3,-39351.7,-736.0,-2459.7,-60608.3,-30695.2,-46015.1,-3322.3,-3595.5,-1827.3,-4724.7,-320.3,-1489.5,-4074.9,-6066.7,-670.6,-723.4,-2629.5,-1386.7,-1385.3,-669.7,-6076.5,-518.7,-7312.6,-1555.0,-1301.1,-2278.3,-4195.3,-6494.2,-13693.0
2050/01/01 05:00:00,-3644.1,-6135.8,-27620.9,-1257.1,-3736.5,-39897.9,-746.2,-2493.8,-61449.6,-31121.2,-46653.8,-3368.4,-3645.4,-1852.7,-4790.3,-324.7,-1510.1,-4131.4,-6150.9,-679.9,-733.5,-2666.0,-1405.9,-1404.6,-679.0,-6160.9,-525.9,-7414.1,-1576.6,-1319.1,-2309.9,-4253.5,-6584.3,-13883.0
2050/01/01 06:00:00,-3738.2,-6294.2,-28333.9,-1289.5,-3832.9,-40927.7,-765.4,-2558.2,-63035.7,-31924.5,-47858.1,-3455.3,-3739.5,-1900.5,-4913.9,-333.1,-1549.1,-4238.1,-6309.7,-697.4,-752.4,-2734.8,-1442.2,-1440.8,-696.6,-6319.9,-539.4,-7605.5,-1617.2,-1353.2,-2369.5,-4363.3,-6754.3,-14241.4
2050/01/01 07:00:00,-3789.6,-6380.8,-28723.6,-1307.3,-3885.7,-41490.7,-776.0,-2593.4,-63902.8,-32363.7,-48516.4,-3502.8,-3790.9,-1926.7,-4981.5,-337.7,-1570.4,-4296.4,-6396.5,-707.0,-762.7,-2772.5,-1462.0,-1460.6,-706.1,-6406.8,-546.9,-7710.1,-1639.5,-1371.8,-2402.1,-4423.3,-6847.2,-14437.3
2050/01/01 08:00:00,-3837.3,-6461.0,-29084.8,-1323.7,-3934.5,-42012.5,-785.7,-2626.0,-64706.4,-32770.7,-49126.5,-3546.9,-3838.6,-1950.9,-5044.2,-341.9,-1590.2,-4350.4,-6476.9,-715.9,-772.3,-2807.3,-1480.4,-1479.0,-715.0,-6487.4,-553.7,-7807.1,-1660.1,-1389.0,-2432.3,-4478.9,-6933.3,-14618.8
2050/01/01 09:00:00,-3771.4,-6350.2,-28585.9,-1301.0,-3867.0,-41291.9,-772.2,-2581.0,-63596.5,-32208.6,-48283.9,-3486.1,-3772.7,-1917.4,-4957.7,-336.1,-1562.9,-4275.8,-6365.8,-703.6,-759.1,-2759.2,-1455.0,-1453.6,-702.8,-6376.1,-544.2,-7673.2,-1631.6,-1365.2,-2390.6,-4402.1,-6814.4,-14368.1
